boro,reported,candidate,party,votes,scrape_time
Bronx,97.00%,Althea V. Stevens,(Democratic),15673,2025-11-06_10:54:12.32581
Bronx,97.00%,Emmanuel Findlay,(Republican),1845,2025-11-06_10:54:12.32581
Bronx,97.00%,Emmanuel Findlay,(Conservative),391,2025-11-06_10:54:12.32581
Bronx,97.00%,Althea V. Stevens,(Working Families),1641,2025-11-06_10:54:12.32581
Bronx,97.00%,WRITE-IN,,34,2025-11-06_10:54:12.32581
Total,,Althea V. Stevens,(Democratic),15673,2025-11-06_10:54:12.32581
Total,,Emmanuel Findlay,(Republican),1845,2025-11-06_10:54:12.32581
Total,,Emmanuel Findlay,(Conservative),391,2025-11-06_10:54:12.32581
Total,,Althea V. Stevens,(Working Families),1641,2025-11-06_10:54:12.32581
Total,,WRITE-IN,,34,2025-11-06_10:54:12.32581
