boro,reported,candidate,party,votes,scrape_time
New York,97.66%,YES,,388781,2025-11-06_10:55:02.843214
New York,97.66%,NO,,73856,2025-11-06_10:55:02.843214
Bronx,96.86%,YES,,137139,2025-11-06_10:55:02.843214
Bronx,96.86%,NO,,49422,2025-11-06_10:55:02.843214
Kings,97.36%,YES,,397581,2025-11-06_10:55:02.843214
Kings,97.36%,NO,,144930,2025-11-06_10:55:02.843214
Queens,96.47%,YES,,292138,2025-11-06_10:55:02.843214
Queens,96.47%,NO,,129530,2025-11-06_10:55:02.843214
Richmond,98.45%,YES,,59527,2025-11-06_10:55:02.843214
Richmond,98.45%,NO,,67940,2025-11-06_10:55:02.843214
Total,,YES,,1275166,2025-11-06_10:55:02.843214
Total,,NO,,465678,2025-11-06_10:55:02.843214
