boro,reported,candidate,party,votes,scrape_time
Bronx,98.28%,Oswald J. Feliz,(Democratic),13939,2025-11-06_10:54:11.714785
Bronx,98.28%,Aramis Ocasio,(Republican),1887,2025-11-06_10:54:11.714785
Bronx,98.28%,Gary Lutz,(Conservative),414,2025-11-06_10:54:11.714785
Bronx,98.28%,WRITE-IN,,39,2025-11-06_10:54:11.714785
Total,,Oswald J. Feliz,(Democratic),13939,2025-11-06_10:54:11.714785
Total,,Aramis Ocasio,(Republican),1887,2025-11-06_10:54:11.714785
Total,,Gary Lutz,(Conservative),414,2025-11-06_10:54:11.714785
Total,,WRITE-IN,,39,2025-11-06_10:54:11.714785
