AD_num,reported,candidate,party,votes,scrape_time
AD   75,97.27%,Brad Hoylman-Sigal,(Working Families),3841,2025-11-06_10:53:50.712822
AD   75,97.27%,Rolando Gomez,(The Unity ),598,2025-11-06_10:53:50.712822
AD   75,97.27%,WRITE-IN,,84,2025-11-06_10:53:50.712822
AD   76,96.69%,Brad Hoylman-Sigal,(Democratic),34161,2025-11-06_10:53:50.712822
AD   76,96.69%,Seson Adams,(Republican),12201,2025-11-06_10:53:50.712822
AD   76,96.69%,Brad Hoylman-Sigal,(Working Families),3761,2025-11-06_10:53:50.712822
AD   76,96.69%,Rolando Gomez,(The Unity ),610,2025-11-06_10:53:50.712822
AD   76,96.69%,WRITE-IN,,82,2025-11-06_10:53:50.712822
Total,,Brad Hoylman-Sigal,(Democratic),333495,2025-11-06_10:53:50.712822
Total,,Seson Adams,(Republican),81376,2025-11-06_10:53:50.712822
Total,,Brad Hoylman-Sigal,(Working Families),52444,2025-11-06_10:53:50.712822
Total,,Rolando Gomez,(The Unity ),10192,2025-11-06_10:53:50.712822
Total,,WRITE-IN,,861,2025-11-06_10:53:50.712822
