boro,reported,candidate,party,votes,scrape_time
New York,96.10%,Elsie Encarnacion,(Democratic),13851,2025-11-06_10:54:07.817442
New York,96.10%,Tyreek Goodman,(Republican),2160,2025-11-06_10:54:07.817442
New York,96.10%,Tyreek Goodman,(Conservative),306,2025-11-06_10:54:07.817442
New York,96.10%,Elsie Encarnacion,(Working Families),2511,2025-11-06_10:54:07.817442
New York,96.10%,Federico Colon,(The Unity ),655,2025-11-06_10:54:07.817442
New York,96.10%,WRITE-IN,,45,2025-11-06_10:54:07.817442
Bronx,97.96%,Elsie Encarnacion,(Democratic),6063,2025-11-06_10:54:07.817442
Bronx,97.96%,Tyreek Goodman,(Republican),707,2025-11-06_10:54:07.817442
Bronx,97.96%,Tyreek Goodman,(Conservative),134,2025-11-06_10:54:07.817442
Bronx,97.96%,Elsie Encarnacion,(Working Families),946,2025-11-06_10:54:07.817442
Bronx,97.96%,Federico Colon,(The Unity ),206,2025-11-06_10:54:07.817442
Bronx,97.96%,WRITE-IN,,19,2025-11-06_10:54:07.817442
Total,,Elsie Encarnacion,(Democratic),19914,2025-11-06_10:54:07.817442
Total,,Tyreek Goodman,(Republican),2867,2025-11-06_10:54:07.817442
Total,,Tyreek Goodman,(Conservative),440,2025-11-06_10:54:07.817442
Total,,Elsie Encarnacion,(Working Families),3457,2025-11-06_10:54:07.817442
Total,,Federico Colon,(The Unity ),861,2025-11-06_10:54:07.817442
Total,,WRITE-IN,,64,2025-11-06_10:54:07.817442
