boro,reported,candidate,party,votes,scrape_time
Kings,98.59%,Kayla Santosuosso,(Democratic),18343,2025-11-06_10:54:31.484272
Kings,98.59%,George Sarantopoulos,(Republican),13380,2025-11-06_10:54:31.484272
Kings,98.59%,George Sarantopoulos,(Conservative),1402,2025-11-06_10:54:31.484272
Kings,98.59%,Kayla Santosuosso,(Working Families),3322,2025-11-06_10:54:31.484272
Kings,98.59%,WRITE-IN,,80,2025-11-06_10:54:31.484272
Total,,Kayla Santosuosso,(Democratic),18343,2025-11-06_10:54:31.484272
Total,,George Sarantopoulos,(Republican),13380,2025-11-06_10:54:31.484272
Total,,George Sarantopoulos,(Conservative),1402,2025-11-06_10:54:31.484272
Total,,Kayla Santosuosso,(Working Families),3322,2025-11-06_10:54:31.484272
Total,,WRITE-IN,,80,2025-11-06_10:54:31.484272
