boro,reported,candidate,party,votes,scrape_time
Queens,0.00%,Sandra Ung,(Democratic),14508,2025-11-04_22:11:02.434925
Queens,0.00%,Allen Haolun Wang,(Conservative),3252,2025-11-04_22:11:02.434925
Queens,0.00%,Joseph J. Chou,(Asians United/F.A.F.O.),862,2025-11-04_22:11:02.434925
Queens,0.00%,Steven Wang,(Patriot Party),601,2025-11-04_22:11:02.434925
Queens,0.00%,WRITE-IN,,72,2025-11-04_22:11:02.434925
Total,,Sandra Ung,(Democratic),14508,2025-11-04_22:11:02.434925
Total,,Allen Haolun Wang,(Conservative),3252,2025-11-04_22:11:02.434925
Total,,Joseph J. Chou,(Asians United/F.A.F.O.),862,2025-11-04_22:11:02.434925
Total,,Steven Wang,(Patriot Party),601,2025-11-04_22:11:02.434925
Total,,WRITE-IN,,72,2025-11-04_22:11:02.434925
