boro,reported,candidate,party,votes,scrape_time
Queens,0.00%,Donovan J. Richards Jr.,(Democratic),315764,2025-11-04_22:10:30.962459
Queens,0.00%,Henry P. Ikezi,(Republican),128128,2025-11-04_22:10:30.962459
Queens,0.00%,Henry P. Ikezi,(United Alliance),6460,2025-11-04_22:10:30.962459
Queens,0.00%,WRITE-IN,,966,2025-11-04_22:10:30.962459
Total,,Donovan J. Richards Jr.,(Democratic),315764,2025-11-04_22:10:30.962459
Total,,Henry P. Ikezi,(Republican),128128,2025-11-04_22:10:30.962459
Total,,Henry P. Ikezi,(United Alliance),6460,2025-11-04_22:10:30.962459
Total,,WRITE-IN,,966,2025-11-04_22:10:30.962459
