boro,reported,candidate,party,votes,scrape_time
New York,97.66%,YES,,233281,2025-11-06_10:54:44.85968
New York,97.66%,NO,,228073,2025-11-06_10:54:44.85968
Bronx,96.86%,YES,,89557,2025-11-06_10:54:44.85968
Bronx,96.86%,NO,,96145,2025-11-06_10:54:44.85968
Kings,97.36%,YES,,237647,2025-11-06_10:54:44.85968
Kings,97.36%,NO,,307500,2025-11-06_10:54:44.85968
Queens,96.47%,YES,,186015,2025-11-06_10:54:44.85968
Queens,96.47%,NO,,237128,2025-11-06_10:54:44.85968
Richmond,98.45%,YES,,45535,2025-11-06_10:54:44.85968
Richmond,98.45%,NO,,82336,2025-11-06_10:54:44.85968
Total,,YES,,792035,2025-11-06_10:54:44.85968
Total,,NO,,951182,2025-11-06_10:54:44.85968
