ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,97.98%,YES,&nbsp,367,AD 23,2025-11-05_01:52:52.004017
ED    1,97.98%,NO,&nbsp,674,AD 23,2025-11-05_01:52:52.004017
ED    2,97.98%,YES,&nbsp,304,AD 23,2025-11-05_01:52:52.004017
ED    2,97.98%,NO,&nbsp,715,AD 23,2025-11-05_01:52:52.004017
ED    3,97.98%,YES,&nbsp,106,AD 23,2025-11-05_01:52:52.004017
ED    3,97.98%,NO,&nbsp,249,AD 23,2025-11-05_01:52:52.004017
ED    4,97.98%,YES,&nbsp,321,AD 23,2025-11-05_01:52:52.004017
ED    4,97.98%,NO,&nbsp,712,AD 23,2025-11-05_01:52:52.004017
ED    5,97.98%,YES,&nbsp,311,AD 23,2025-11-05_01:52:52.004017
ED    5,97.98%,NO,&nbsp,732,AD 23,2025-11-05_01:52:52.004017
ED    6,97.98%,YES,&nbsp,304,AD 23,2025-11-05_01:52:52.004017
ED    6,97.98%,NO,&nbsp,727,AD 23,2025-11-05_01:52:52.004017
ED    7,97.98%,YES,&nbsp,369,AD 23,2025-11-05_01:52:52.004017
ED    7,97.98%,NO,&nbsp,717,AD 23,2025-11-05_01:52:52.004017
ED    8,97.98%,YES,&nbsp,124,AD 23,2025-11-05_01:52:52.004017
ED    8,97.98%,NO,&nbsp,234,AD 23,2025-11-05_01:52:52.004017
ED    9,97.98%,YES,&nbsp,75,AD 23,2025-11-05_01:52:52.004017
ED    9,97.98%,NO,&nbsp,128,AD 23,2025-11-05_01:52:52.004017
ED   10,97.98%,YES,&nbsp,262,AD 23,2025-11-05_01:52:52.004017
ED   10,97.98%,NO,&nbsp,577,AD 23,2025-11-05_01:52:52.004017
ED   11,97.98%,YES,&nbsp,214,AD 23,2025-11-05_01:52:52.004017
ED   11,97.98%,NO,&nbsp,300,AD 23,2025-11-05_01:52:52.004017
ED   12,97.98%,YES,&nbsp,62,AD 23,2025-11-05_01:52:52.004017
ED   12,97.98%,NO,&nbsp,83,AD 23,2025-11-05_01:52:52.004017
ED   13,97.98%,YES,&nbsp,167,AD 23,2025-11-05_01:52:52.004017
ED   13,97.98%,NO,&nbsp,254,AD 23,2025-11-05_01:52:52.004017
ED   14,97.98%,YES,&nbsp,184,AD 23,2025-11-05_01:52:52.004017
ED   14,97.98%,NO,&nbsp,283,AD 23,2025-11-05_01:52:52.004017
