boro,reported,candidate,party,votes,scrape_time
Kings,98.10%,Simcha Felder,(Democratic/Law & Order),23249,2025-11-06_10:54:29.458394
Kings,98.10%,Heshy Tischler,(Republican),5760,2025-11-06_10:54:29.458394
Kings,98.10%,Simcha Felder,(Conservative),11203,2025-11-06_10:54:29.458394
Kings,98.10%,Heshy Tischler,(Trump MAGA),539,2025-11-06_10:54:29.458394
Kings,98.10%,WRITE-IN,,144,2025-11-06_10:54:29.458394
Total,,Simcha Felder,(Democratic/Law & Order),23249,2025-11-06_10:54:29.458394
Total,,Heshy Tischler,(Republican),5760,2025-11-06_10:54:29.458394
Total,,Simcha Felder,(Conservative),11203,2025-11-06_10:54:29.458394
Total,,Heshy Tischler,(Trump MAGA),539,2025-11-06_10:54:29.458394
Total,,WRITE-IN,,144,2025-11-06_10:54:29.458394
