boro,reported,candidate,party,votes,scrape_time
New York,95.17%,Virginia Maloney,(Democratic),40508,2025-11-06_10:54:05.379379
New York,95.17%,Debra Schwartzben,(Republican),15608,2025-11-06_10:54:05.379379
New York,95.17%,Kyle Athayde,(Revive East Side),2406,2025-11-06_10:54:05.379379
New York,95.17%,WRITE-IN,,108,2025-11-06_10:54:05.379379
Total,,Virginia Maloney,(Democratic),40508,2025-11-06_10:54:05.379379
Total,,Debra Schwartzben,(Republican),15608,2025-11-06_10:54:05.379379
Total,,Kyle Athayde,(Revive East Side),2406,2025-11-06_10:54:05.379379
Total,,WRITE-IN,,108,2025-11-06_10:54:05.379379
