boro,reported,candidate,party,votes,scrape_time
Bronx,97.98%,Eric Dinowitz,(Democratic),28679,2025-11-05_01:52:17.618884
Bronx,97.98%,Stylo Sapaskis,(Republican),4588,2025-11-05_01:52:17.618884
Bronx,97.98%,Denise Smith,(Conservative),1402,2025-11-05_01:52:17.618884
Bronx,97.98%,WRITE-IN,,277,2025-11-05_01:52:17.618884
Total,,Eric Dinowitz,(Democratic),28679,2025-11-05_01:52:17.618884
Total,,Stylo Sapaskis,(Republican),4588,2025-11-05_01:52:17.618884
Total,,Denise Smith,(Conservative),1402,2025-11-05_01:52:17.618884
Total,,WRITE-IN,,277,2025-11-05_01:52:17.618884
