ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   16,0.00%,Nantasha M. Williams,(Democratic),105,AD 29,2025-11-04_22:11:09.842254
ED   16,0.00%,WRITE-IN,&nbsp,-,AD 29,2025-11-04_22:11:09.842254
ED   25,0.00%,Nantasha M. Williams,(Democratic),297,AD 29,2025-11-04_22:11:09.842254
ED   25,0.00%,WRITE-IN,&nbsp,1,AD 29,2025-11-04_22:11:09.842254
ED   26,0.00%,Nantasha M. Williams,(Democratic),101,AD 29,2025-11-04_22:11:09.842254
ED   26,0.00%,WRITE-IN,&nbsp,1,AD 29,2025-11-04_22:11:09.842254
ED   27,0.00%,Nantasha M. Williams,(Democratic),493,AD 29,2025-11-04_22:11:09.842254
ED   27,0.00%,WRITE-IN,&nbsp,1,AD 29,2025-11-04_22:11:09.842254
ED   28,0.00%,Nantasha M. Williams,(Democratic),506,AD 29,2025-11-04_22:11:09.842254
ED   28,0.00%,WRITE-IN,&nbsp,1,AD 29,2025-11-04_22:11:09.842254
ED   29,0.00%,Nantasha M. Williams,(Democratic),319,AD 29,2025-11-04_22:11:09.842254
ED   29,0.00%,WRITE-IN,&nbsp,3,AD 29,2025-11-04_22:11:09.842254
ED   30,0.00%,Nantasha M. Williams,(Democratic),308,AD 29,2025-11-04_22:11:09.842254
ED   30,0.00%,WRITE-IN,&nbsp,1,AD 29,2025-11-04_22:11:09.842254
ED   31,0.00%,Nantasha M. Williams,(Democratic),316,AD 29,2025-11-04_22:11:09.842254
ED   31,0.00%,WRITE-IN,&nbsp,3,AD 29,2025-11-04_22:11:09.842254
ED   32,0.00%,Nantasha M. Williams,(Democratic),251,AD 29,2025-11-04_22:11:09.842254
ED   32,0.00%,WRITE-IN,&nbsp,5,AD 29,2025-11-04_22:11:09.842254
ED   34,0.00%,Nantasha M. Williams,(Democratic),524,AD 29,2025-11-04_22:11:09.842254
ED   34,0.00%,WRITE-IN,&nbsp,3,AD 29,2025-11-04_22:11:09.842254
ED   35,0.00%,Nantasha M. Williams,(Democratic),364,AD 29,2025-11-04_22:11:09.842254
ED   35,0.00%,WRITE-IN,&nbsp,2,AD 29,2025-11-04_22:11:09.842254
ED   36,0.00%,Nantasha M. Williams,(Democratic),454,AD 29,2025-11-04_22:11:09.842254
ED   36,0.00%,WRITE-IN,&nbsp,7,AD 29,2025-11-04_22:11:09.842254
ED   37,0.00%,Nantasha M. Williams,(Democratic),377,AD 29,2025-11-04_22:11:09.842254
ED   37,0.00%,WRITE-IN,&nbsp,1,AD 29,2025-11-04_22:11:09.842254
ED   38,0.00%,Nantasha M. Williams,(Democratic),396,AD 29,2025-11-04_22:11:09.842254
ED   38,0.00%,WRITE-IN,&nbsp,2,AD 29,2025-11-04_22:11:09.842254
ED   39,0.00%,Nantasha M. Williams,(Democratic),416,AD 29,2025-11-04_22:11:09.842254
ED   39,0.00%,WRITE-IN,&nbsp,5,AD 29,2025-11-04_22:11:09.842254
ED   40,0.00%,Nantasha M. Williams,(Democratic),369,AD 29,2025-11-04_22:11:09.842254
ED   40,0.00%,WRITE-IN,&nbsp,3,AD 29,2025-11-04_22:11:09.842254
ED   41,0.00%,Nantasha M. Williams,(Democratic),385,AD 29,2025-11-04_22:11:09.842254
ED   41,0.00%,WRITE-IN,&nbsp,2,AD 29,2025-11-04_22:11:09.842254
ED   42,0.00%,Nantasha M. Williams,(Democratic),66,AD 29,2025-11-04_22:11:09.842254
ED   42,0.00%,WRITE-IN,&nbsp,-,AD 29,2025-11-04_22:11:09.842254
ED   43,0.00%,Nantasha M. Williams,(Democratic),438,AD 29,2025-11-04_22:11:09.842254
ED   43,0.00%,WRITE-IN,&nbsp,2,AD 29,2025-11-04_22:11:09.842254
