AD_num,reported,candidate,party,votes,scrape_time
AD   27,0.00%,Shanel Thomas-Henry,(Democratic),-,2025-11-04_22:11:03.360602
AD   27,0.00%,Giovanni Enrique Franco,(Republican),-,2025-11-04_22:11:03.360602
AD   27,0.00%,Shanel Thomas-Henry,(Working Families),-,2025-11-04_22:11:03.360602
AD   27,0.00%,Giovanni Enrique Franco,(United Alliance),-,2025-11-04_22:11:03.360602
AD   27,0.00%,WRITE-IN,,-,2025-11-04_22:11:03.360602
AD   34,0.00%,Shanel Thomas-Henry,(Democratic),1743,2025-11-04_22:11:03.360602
AD   34,0.00%,Giovanni Enrique Franco,(Republican),677,2025-11-04_22:11:03.360602
AD   34,0.00%,Shanel Thomas-Henry,(Working Families),269,2025-11-04_22:11:03.360602
AD   34,0.00%,Giovanni Enrique Franco,(United Alliance),110,2025-11-04_22:11:03.360602
AD   34,0.00%,WRITE-IN,,17,2025-11-04_22:11:03.360602
AD   35,0.00%,Shanel Thomas-Henry,(Democratic),6777,2025-11-04_22:11:03.360602
AD   35,0.00%,Giovanni Enrique Franco,(Republican),1749,2025-11-04_22:11:03.360602
AD   35,0.00%,Shanel Thomas-Henry,(Working Families),702,2025-11-04_22:11:03.360602
AD   35,0.00%,Giovanni Enrique Franco,(United Alliance),191,2025-11-04_22:11:03.360602
AD   35,0.00%,WRITE-IN,,18,2025-11-04_22:11:03.360602
AD   39,0.00%,Shanel Thomas-Henry,(Democratic),2127,2025-11-04_22:11:03.360602
AD   39,0.00%,Giovanni Enrique Franco,(Republican),882,2025-11-04_22:11:03.360602
AD   39,0.00%,Shanel Thomas-Henry,(Working Families),322,2025-11-04_22:11:03.360602
AD   39,0.00%,Giovanni Enrique Franco,(United Alliance),105,2025-11-04_22:11:03.360602
AD   39,0.00%,WRITE-IN,,9,2025-11-04_22:11:03.360602
Total,,Shanel Thomas-Henry,(Democratic),10647,2025-11-04_22:11:03.360602
Total,,Giovanni Enrique Franco,(Republican),3308,2025-11-04_22:11:03.360602
Total,,Shanel Thomas-Henry,(Working Families),1293,2025-11-04_22:11:03.360602
Total,,Giovanni Enrique Franco,(United Alliance),406,2025-11-04_22:11:03.360602
Total,,WRITE-IN,,44,2025-11-04_22:11:03.360602
