boro,reported,candidate,party,votes,scrape_time
New York,98.31%,Carmen N. De La Rosa,(Democratic),26900,2025-11-06_10:54:08.870023
New York,98.31%,Louisa Flores,(Republican),4014,2025-11-06_10:54:08.870023
New York,98.31%,Carmen N. De La Rosa,(Working Families),6995,2025-11-06_10:54:08.870023
New York,98.31%,Francesca Castellanos,(The Unity ),1003,2025-11-06_10:54:08.870023
New York,98.31%,WRITE-IN,,117,2025-11-06_10:54:08.870023
Total,,Carmen N. De La Rosa,(Democratic),26900,2025-11-06_10:54:08.870023
Total,,Louisa Flores,(Republican),4014,2025-11-06_10:54:08.870023
Total,,Carmen N. De La Rosa,(Working Families),6995,2025-11-06_10:54:08.870023
Total,,Francesca Castellanos,(The Unity ),1003,2025-11-06_10:54:08.870023
Total,,WRITE-IN,,117,2025-11-06_10:54:08.870023
