boro,reported,candidate,party,votes,scrape_time
Queens,95.61%,Shekar Krishnan,(Democratic),17885,2025-11-06_10:54:17.93042
Queens,95.61%,Ramses S. Frias,(Republican),5570,2025-11-06_10:54:17.93042
Queens,95.61%,Ramses S. Frias,(Conservative),524,2025-11-06_10:54:17.93042
Queens,95.61%,Shekar Krishnan,(Working Families),3197,2025-11-06_10:54:17.93042
Queens,95.61%,Ricardo Pacheco,(Safe&Affordable/Stop The Casino),1849,2025-11-06_10:54:17.93042
Queens,95.61%,Shah S. Haque,(Asians United),1127,2025-11-06_10:54:17.93042
Queens,95.61%,WRITE-IN,,100,2025-11-06_10:54:17.93042
Total,,Shekar Krishnan,(Democratic),17885,2025-11-06_10:54:17.93042
Total,,Ramses S. Frias,(Republican),5570,2025-11-06_10:54:17.93042
Total,,Ramses S. Frias,(Conservative),524,2025-11-06_10:54:17.93042
Total,,Shekar Krishnan,(Working Families),3197,2025-11-06_10:54:17.93042
Total,,Ricardo Pacheco,(Safe&Affordable/Stop The Casino),1849,2025-11-06_10:54:17.93042
Total,,Shah S. Haque,(Asians United),1127,2025-11-06_10:54:17.93042
Total,,WRITE-IN,,100,2025-11-06_10:54:17.93042
