AD_num,reported,candidate,party,votes,scrape_time
AD   30,0.00%,Shekar Krishnan,(Democratic),4562,2025-11-04_22:11:07.615996
AD   30,0.00%,Ramses S. Frias,(Republican),1403,2025-11-04_22:11:07.615996
AD   30,0.00%,Ramses S. Frias,(Conservative),131,2025-11-04_22:11:07.615996
AD   30,0.00%,Shekar Krishnan,(Working Families),694,2025-11-04_22:11:07.615996
AD   30,0.00%,Ricardo Pacheco,(Safe&Affordable/Stop The Casino),344,2025-11-04_22:11:07.615996
AD   30,0.00%,Shah S. Haque,(Asians United),458,2025-11-04_22:11:07.615996
AD   30,0.00%,WRITE-IN,,24,2025-11-04_22:11:07.615996
AD   34,0.00%,Shekar Krishnan,(Democratic),4958,2025-11-04_22:11:07.615996
AD   34,0.00%,Ramses S. Frias,(Republican),1761,2025-11-04_22:11:07.615996
AD   34,0.00%,Ramses S. Frias,(Conservative),161,2025-11-04_22:11:07.615996
AD   34,0.00%,Shekar Krishnan,(Working Families),791,2025-11-04_22:11:07.615996
AD   34,0.00%,Ricardo Pacheco,(Safe&Affordable/Stop The Casino),635,2025-11-04_22:11:07.615996
AD   34,0.00%,Shah S. Haque,(Asians United),233,2025-11-04_22:11:07.615996
AD   34,0.00%,WRITE-IN,,26,2025-11-04_22:11:07.615996
AD   35,0.00%,Shekar Krishnan,(Democratic),556,2025-11-04_22:11:07.615996
AD   35,0.00%,Ramses S. Frias,(Republican),161,2025-11-04_22:11:07.615996
AD   35,0.00%,Ramses S. Frias,(Conservative),16,2025-11-04_22:11:07.615996
AD   35,0.00%,Shekar Krishnan,(Working Families),62,2025-11-04_22:11:07.615996
AD   35,0.00%,Ricardo Pacheco,(Safe&Affordable/Stop The Casino),47,2025-11-04_22:11:07.615996
AD   35,0.00%,Shah S. Haque,(Asians United),27,2025-11-04_22:11:07.615996
AD   35,0.00%,WRITE-IN,,1,2025-11-04_22:11:07.615996
AD   39,0.00%,Shekar Krishnan,(Democratic),7264,2025-11-04_22:11:07.615996
AD   39,0.00%,Ramses S. Frias,(Republican),2101,2025-11-04_22:11:07.615996
AD   39,0.00%,Ramses S. Frias,(Conservative),202,2025-11-04_22:11:07.615996
AD   39,0.00%,Shekar Krishnan,(Working Families),1564,2025-11-04_22:11:07.615996
AD   39,0.00%,Ricardo Pacheco,(Safe&Affordable/Stop The Casino),772,2025-11-04_22:11:07.615996
AD   39,0.00%,Shah S. Haque,(Asians United),353,2025-11-04_22:11:07.615996
AD   39,0.00%,WRITE-IN,,46,2025-11-04_22:11:07.615996
Total,,Shekar Krishnan,(Democratic),17340,2025-11-04_22:11:07.615996
Total,,Ramses S. Frias,(Republican),5426,2025-11-04_22:11:07.615996
Total,,Ramses S. Frias,(Conservative),510,2025-11-04_22:11:07.615996
Total,,Shekar Krishnan,(Working Families),3111,2025-11-04_22:11:07.615996
Total,,Ricardo Pacheco,(Safe&Affordable/Stop The Casino),1798,2025-11-04_22:11:07.615996
Total,,Shah S. Haque,(Asians United),1071,2025-11-04_22:11:07.615996
Total,,WRITE-IN,,97,2025-11-04_22:11:07.615996
