boro,reported,candidate,party,votes,scrape_time
Bronx,88.43%,Kevin C. Riley,(Democratic),24710,2025-11-06_10:54:09.939916
Bronx,88.43%,Franchie Muniz Sr.,(Republican),1793,2025-11-06_10:54:09.939916
Bronx,88.43%,James Washington-Ward,(Conservative),568,2025-11-06_10:54:09.939916
Bronx,88.43%,James Washington-Ward,(United Alliance),192,2025-11-06_10:54:09.939916
Bronx,88.43%,WRITE-IN,,55,2025-11-06_10:54:09.939916
Total,,Kevin C. Riley,(Democratic),24710,2025-11-06_10:54:09.939916
Total,,Franchie Muniz Sr.,(Republican),1793,2025-11-06_10:54:09.939916
Total,,James Washington-Ward,(Conservative),568,2025-11-06_10:54:09.939916
Total,,James Washington-Ward,(United Alliance),192,2025-11-06_10:54:09.939916
Total,,WRITE-IN,,55,2025-11-06_10:54:09.939916
