AD_num,reported,candidate,party,votes,scrape_time
AD   54,99.00%,Chris Banks,(Democratic),1648,2025-11-06_10:54:28.251867
AD   54,99.00%,Davon L. Phillips,(Freedom),87,2025-11-06_10:54:28.251867
AD   54,99.00%,WRITE-IN,,3,2025-11-06_10:54:28.251867
AD   55,80.00%,Chris Banks,(Democratic),594,2025-11-06_10:54:28.251867
AD   55,80.00%,Davon L. Phillips,(Freedom),30,2025-11-06_10:54:28.251867
AD   55,80.00%,WRITE-IN,,0,2025-11-06_10:54:28.251867
AD   58,99.00%,Chris Banks,(Democratic),3429,2025-11-06_10:54:28.251867
AD   58,99.00%,Davon L. Phillips,(Freedom),116,2025-11-06_10:54:28.251867
AD   58,99.00%,WRITE-IN,,3,2025-11-06_10:54:28.251867
AD   59,99.00%,Chris Banks,(Democratic),339,2025-11-06_10:54:28.251867
AD   59,99.00%,Davon L. Phillips,(Freedom),7,2025-11-06_10:54:28.251867
AD   59,99.00%,WRITE-IN,,0,2025-11-06_10:54:28.251867
AD   60,99.00%,Chris Banks,(Democratic),16267,2025-11-06_10:54:28.251867
AD   60,99.00%,Davon L. Phillips,(Freedom),735,2025-11-06_10:54:28.251867
AD   60,99.00%,WRITE-IN,,43,2025-11-06_10:54:28.251867
Total,,Chris Banks,(Democratic),22277,2025-11-06_10:54:28.251867
Total,,Davon L. Phillips,(Freedom),975,2025-11-06_10:54:28.251867
Total,,WRITE-IN,,49,2025-11-06_10:54:28.251867
