ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   14,97.98%,Mark D. Levine,(Democratic),238,AD 23,2025-11-05_01:51:42.65791
ED   14,97.98%,Peter Kefalas,(Republican),235,AD 23,2025-11-05_01:51:42.65791
ED   14,97.98%,Peter Kefalas,(Conservative),22,AD 23,2025-11-05_01:51:42.65791
ED   14,97.98%,Ismael Malave Perez,(The Unity ),13,AD 23,2025-11-05_01:51:42.65791
ED   14,97.98%,WRITE-IN,&nbsp,2,AD 23,2025-11-05_01:51:42.65791
ED   15,97.98%,Mark D. Levine,(Democratic),227,AD 23,2025-11-05_01:51:42.65791
ED   15,97.98%,Peter Kefalas,(Republican),186,AD 23,2025-11-05_01:51:42.65791
ED   15,97.98%,Peter Kefalas,(Conservative),21,AD 23,2025-11-05_01:51:42.65791
ED   15,97.98%,Ismael Malave Perez,(The Unity ),9,AD 23,2025-11-05_01:51:42.65791
ED   15,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED   16,97.98%,Mark D. Levine,(Democratic),175,AD 23,2025-11-05_01:51:42.65791
ED   16,97.98%,Peter Kefalas,(Republican),125,AD 23,2025-11-05_01:51:42.65791
ED   16,97.98%,Peter Kefalas,(Conservative),10,AD 23,2025-11-05_01:51:42.65791
ED   16,97.98%,Ismael Malave Perez,(The Unity ),2,AD 23,2025-11-05_01:51:42.65791
ED   16,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:42.65791
ED   17,97.98%,Mark D. Levine,(Democratic),159,AD 23,2025-11-05_01:51:42.65791
ED   17,97.98%,Peter Kefalas,(Republican),349,AD 23,2025-11-05_01:51:42.65791
ED   17,97.98%,Peter Kefalas,(Conservative),44,AD 23,2025-11-05_01:51:42.65791
ED   17,97.98%,Ismael Malave Perez,(The Unity ),5,AD 23,2025-11-05_01:51:42.65791
ED   17,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED   18,97.98%,Mark D. Levine,(Democratic),434,AD 23,2025-11-05_01:51:42.65791
ED   18,97.98%,Peter Kefalas,(Republican),145,AD 23,2025-11-05_01:51:42.65791
ED   18,97.98%,Peter Kefalas,(Conservative),12,AD 23,2025-11-05_01:51:42.65791
ED   18,97.98%,Ismael Malave Perez,(The Unity ),22,AD 23,2025-11-05_01:51:42.65791
ED   18,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:42.65791
ED   19,97.98%,Mark D. Levine,(Democratic),63,AD 23,2025-11-05_01:51:42.65791
ED   19,97.98%,Peter Kefalas,(Republican),7,AD 23,2025-11-05_01:51:42.65791
ED   19,97.98%,Peter Kefalas,(Conservative),0,AD 23,2025-11-05_01:51:42.65791
ED   19,97.98%,Ismael Malave Perez,(The Unity ),1,AD 23,2025-11-05_01:51:42.65791
ED   19,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED   20,97.98%,Mark D. Levine,(Democratic),162,AD 23,2025-11-05_01:51:42.65791
ED   20,97.98%,Peter Kefalas,(Republican),20,AD 23,2025-11-05_01:51:42.65791
ED   20,97.98%,Peter Kefalas,(Conservative),4,AD 23,2025-11-05_01:51:42.65791
ED   20,97.98%,Ismael Malave Perez,(The Unity ),8,AD 23,2025-11-05_01:51:42.65791
ED   20,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED   21,97.98%,Mark D. Levine,(Democratic),278,AD 23,2025-11-05_01:51:42.65791
ED   21,97.98%,Peter Kefalas,(Republican),25,AD 23,2025-11-05_01:51:42.65791
ED   21,97.98%,Peter Kefalas,(Conservative),8,AD 23,2025-11-05_01:51:42.65791
ED   21,97.98%,Ismael Malave Perez,(The Unity ),13,AD 23,2025-11-05_01:51:42.65791
ED   21,97.98%,WRITE-IN,&nbsp,1,AD 23,2025-11-05_01:51:42.65791
ED   22,97.98%,Mark D. Levine,(Democratic),120,AD 23,2025-11-05_01:51:42.65791
ED   22,97.98%,Peter Kefalas,(Republican),11,AD 23,2025-11-05_01:51:42.65791
ED   22,97.98%,Peter Kefalas,(Conservative),5,AD 23,2025-11-05_01:51:42.65791
ED   22,97.98%,Ismael Malave Perez,(The Unity ),0,AD 23,2025-11-05_01:51:42.65791
ED   22,97.98%,WRITE-IN,&nbsp,0,AD 23,2025-11-05_01:51:42.65791
ED   23,97.98%,Mark D. Levine,(Democratic),120,AD 23,2025-11-05_01:51:42.65791
ED   23,97.98%,Peter Kefalas,(Republican),100,AD 23,2025-11-05_01:51:42.65791
ED   23,97.98%,Peter Kefalas,(Conservative),9,AD 23,2025-11-05_01:51:42.65791
ED   23,97.98%,Ismael Malave Perez,(The Unity ),3,AD 23,2025-11-05_01:51:42.65791
