boro,reported,candidate,party,votes,scrape_time
Kings,97.98%,Shahana K. Hanif,(Democratic),37354,2025-11-05_01:52:34.208522
Kings,97.98%,Brett Wynkoop,(Conservative),5436,2025-11-05_01:52:34.208522
Kings,97.98%,Shahana K. Hanif,(Working Families),15785,2025-11-05_01:52:34.208522
Kings,97.98%,Nickie Kane,(Voters First),1225,2025-11-05_01:52:34.208522
Kings,97.98%,Matthew I. Morgan,(Libertarian),1724,2025-11-05_01:52:34.208522
Kings,97.98%,WRITE-IN,,408,2025-11-05_01:52:34.208522
Total,,Shahana K. Hanif,(Democratic),37354,2025-11-05_01:52:34.208522
Total,,Brett Wynkoop,(Conservative),5436,2025-11-05_01:52:34.208522
Total,,Shahana K. Hanif,(Working Families),15785,2025-11-05_01:52:34.208522
Total,,Nickie Kane,(Voters First),1225,2025-11-05_01:52:34.208522
Total,,Matthew I. Morgan,(Libertarian),1724,2025-11-05_01:52:34.208522
Total,,WRITE-IN,,408,2025-11-05_01:52:34.208522
