boro,reported,candidate,party,votes,scrape_time
Kings,97.98%,Sheridan Jack-Browne,(Democratic),51962,2025-11-05_01:52:45.878606
Kings,97.98%,WRITE-IN,,211,2025-11-05_01:52:45.878606
Total,,Sheridan Jack-Browne,(Democratic),51962,2025-11-05_01:52:45.878606
Total,,WRITE-IN,,211,2025-11-05_01:52:45.878606
