boro,reported,candidate,party,votes,scrape_time
Kings,99.00%,Radhakrishna Mohan,(Democratic),1085,2025-11-06_10:54:33.333233
Kings,99.00%,David M. Carr,(Republican),1646,2025-11-06_10:54:33.333233
Kings,99.00%,David M. Carr,(Conservative),182,2025-11-06_10:54:33.333233
Kings,99.00%,WRITE-IN,,12,2025-11-06_10:54:33.333233
Richmond,97.54%,Radhakrishna Mohan,(Democratic),12475,2025-11-06_10:54:33.333233
Richmond,97.54%,David M. Carr,(Republican),32344,2025-11-06_10:54:33.333233
Richmond,97.54%,David M. Carr,(Conservative),2569,2025-11-06_10:54:33.333233
Richmond,97.54%,WRITE-IN,,72,2025-11-06_10:54:33.333233
Total,,Radhakrishna Mohan,(Democratic),13560,2025-11-06_10:54:33.333233
Total,,David M. Carr,(Republican),33990,2025-11-06_10:54:33.333233
Total,,David M. Carr,(Conservative),2751,2025-11-06_10:54:33.333233
Total,,WRITE-IN,,84,2025-11-06_10:54:33.333233
