boro,reported,candidate,party,votes,scrape_time
Richmond,97.98%,Michael T. Colombo,(Democratic),44703,2025-11-05_01:52:05.717301
Richmond,97.98%,Vito Fossella,(Republican),96440,2025-11-05_01:52:05.717301
Richmond,97.98%,WRITE-IN,,251,2025-11-05_01:52:05.717301
Total,,Michael T. Colombo,(Democratic),44703,2025-11-05_01:52:05.717301
Total,,Vito Fossella,(Republican),96440,2025-11-05_01:52:05.717301
Total,,WRITE-IN,,251,2025-11-05_01:52:05.717301
