ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   23,0.00%,Michael T. Colombo,(Democratic),155,AD 61,2025-11-04_22:10:33.090663
ED   23,0.00%,Vito Fossella,(Republican),50,AD 61,2025-11-04_22:10:33.090663
ED   23,0.00%,WRITE-IN,&nbsp,2,AD 61,2025-11-04_22:10:33.090663
ED   24,0.00%,Michael T. Colombo,(Democratic),109,AD 61,2025-11-04_22:10:33.090663
ED   24,0.00%,Vito Fossella,(Republican),30,AD 61,2025-11-04_22:10:33.090663
ED   24,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:10:33.090663
ED   25,0.00%,Michael T. Colombo,(Democratic),230,AD 61,2025-11-04_22:10:33.090663
ED   25,0.00%,Vito Fossella,(Republican),135,AD 61,2025-11-04_22:10:33.090663
ED   25,0.00%,WRITE-IN,&nbsp,5,AD 61,2025-11-04_22:10:33.090663
ED   26,0.00%,Michael T. Colombo,(Democratic),184,AD 61,2025-11-04_22:10:33.090663
ED   26,0.00%,Vito Fossella,(Republican),440,AD 61,2025-11-04_22:10:33.090663
ED   26,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   27,0.00%,Michael T. Colombo,(Democratic),162,AD 61,2025-11-04_22:10:33.090663
ED   27,0.00%,Vito Fossella,(Republican),280,AD 61,2025-11-04_22:10:33.090663
ED   27,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   28,0.00%,Michael T. Colombo,(Democratic),254,AD 61,2025-11-04_22:10:33.090663
ED   28,0.00%,Vito Fossella,(Republican),202,AD 61,2025-11-04_22:10:33.090663
ED   28,0.00%,WRITE-IN,&nbsp,2,AD 61,2025-11-04_22:10:33.090663
ED   29,0.00%,Michael T. Colombo,(Democratic),370,AD 61,2025-11-04_22:10:33.090663
ED   29,0.00%,Vito Fossella,(Republican),176,AD 61,2025-11-04_22:10:33.090663
ED   29,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:10:33.090663
ED   30,0.00%,Michael T. Colombo,(Democratic),375,AD 61,2025-11-04_22:10:33.090663
ED   30,0.00%,Vito Fossella,(Republican),114,AD 61,2025-11-04_22:10:33.090663
ED   30,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   31,0.00%,Michael T. Colombo,(Democratic),324,AD 61,2025-11-04_22:10:33.090663
ED   31,0.00%,Vito Fossella,(Republican),278,AD 61,2025-11-04_22:10:33.090663
ED   31,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   32,0.00%,Michael T. Colombo,(Democratic),278,AD 61,2025-11-04_22:10:33.090663
ED   32,0.00%,Vito Fossella,(Republican),285,AD 61,2025-11-04_22:10:33.090663
ED   32,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   33,0.00%,Michael T. Colombo,(Democratic),311,AD 61,2025-11-04_22:10:33.090663
ED   33,0.00%,Vito Fossella,(Republican),154,AD 61,2025-11-04_22:10:33.090663
ED   33,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   34,0.00%,Michael T. Colombo,(Democratic),290,AD 61,2025-11-04_22:10:33.090663
ED   34,0.00%,Vito Fossella,(Republican),112,AD 61,2025-11-04_22:10:33.090663
ED   34,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   35,0.00%,Michael T. Colombo,(Democratic),335,AD 61,2025-11-04_22:10:33.090663
ED   35,0.00%,Vito Fossella,(Republican),146,AD 61,2025-11-04_22:10:33.090663
ED   35,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   36,0.00%,Michael T. Colombo,(Democratic),346,AD 61,2025-11-04_22:10:33.090663
ED   36,0.00%,Vito Fossella,(Republican),186,AD 61,2025-11-04_22:10:33.090663
ED   36,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   37,0.00%,Michael T. Colombo,(Democratic),376,AD 61,2025-11-04_22:10:33.090663
ED   37,0.00%,Vito Fossella,(Republican),174,AD 61,2025-11-04_22:10:33.090663
ED   37,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:10:33.090663
ED   38,0.00%,Michael T. Colombo,(Democratic),363,AD 61,2025-11-04_22:10:33.090663
ED   38,0.00%,Vito Fossella,(Republican),254,AD 61,2025-11-04_22:10:33.090663
ED   38,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   39,0.00%,Michael T. Colombo,(Democratic),339,AD 61,2025-11-04_22:10:33.090663
ED   39,0.00%,Vito Fossella,(Republican),256,AD 61,2025-11-04_22:10:33.090663
ED   39,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:10:33.090663
ED   40,0.00%,Michael T. Colombo,(Democratic),186,AD 61,2025-11-04_22:10:33.090663
ED   40,0.00%,Vito Fossella,(Republican),605,AD 61,2025-11-04_22:10:33.090663
ED   40,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:10:33.090663
ED   41,0.00%,Michael T. Colombo,(Democratic),232,AD 61,2025-11-04_22:10:33.090663
ED   41,0.00%,Vito Fossella,(Republican),613,AD 61,2025-11-04_22:10:33.090663
ED   41,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   42,0.00%,Michael T. Colombo,(Democratic),184,AD 61,2025-11-04_22:10:33.090663
ED   42,0.00%,Vito Fossella,(Republican),598,AD 61,2025-11-04_22:10:33.090663
ED   42,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   43,0.00%,Michael T. Colombo,(Democratic),200,AD 61,2025-11-04_22:10:33.090663
ED   43,0.00%,Vito Fossella,(Republican),530,AD 61,2025-11-04_22:10:33.090663
ED   43,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:10:33.090663
ED   44,0.00%,Michael T. Colombo,(Democratic),156,AD 61,2025-11-04_22:10:33.090663
ED   44,0.00%,Vito Fossella,(Republican),449,AD 61,2025-11-04_22:10:33.090663
ED   44,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   45,0.00%,Michael T. Colombo,(Democratic),142,AD 61,2025-11-04_22:10:33.090663
ED   45,0.00%,Vito Fossella,(Republican),189,AD 61,2025-11-04_22:10:33.090663
ED   45,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:10:33.090663
ED   46,0.00%,Michael T. Colombo,(Democratic),142,AD 61,2025-11-04_22:10:33.090663
ED   46,0.00%,Vito Fossella,(Republican),252,AD 61,2025-11-04_22:10:33.090663
ED   46,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:10:33.090663
ED   47,0.00%,Michael T. Colombo,(Democratic),49,AD 61,2025-11-04_22:10:33.090663
ED   47,0.00%,Vito Fossella,(Republican),25,AD 61,2025-11-04_22:10:33.090663
ED   47,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   48,0.00%,Michael T. Colombo,(Democratic),128,AD 61,2025-11-04_22:10:33.090663
ED   48,0.00%,Vito Fossella,(Republican),112,AD 61,2025-11-04_22:10:33.090663
ED   48,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   49,0.00%,Michael T. Colombo,(Democratic),-,AD 61,2025-11-04_22:10:33.090663
ED   49,0.00%,Vito Fossella,(Republican),-,AD 61,2025-11-04_22:10:33.090663
ED   49,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   50,0.00%,Michael T. Colombo,(Democratic),-,AD 61,2025-11-04_22:10:33.090663
ED   50,0.00%,Vito Fossella,(Republican),-,AD 61,2025-11-04_22:10:33.090663
ED   50,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   51,0.00%,Michael T. Colombo,(Democratic),-,AD 61,2025-11-04_22:10:33.090663
ED   51,0.00%,Vito Fossella,(Republican),-,AD 61,2025-11-04_22:10:33.090663
ED   51,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
ED   52,0.00%,Michael T. Colombo,(Democratic),-,AD 61,2025-11-04_22:10:33.090663
ED   52,0.00%,Vito Fossella,(Republican),-,AD 61,2025-11-04_22:10:33.090663
ED   52,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:10:33.090663
Total,,Michael T. Colombo,(Democratic),13209,AD 61,2025-11-04_22:10:33.090663
Total,,Vito Fossella,(Republican),9626,AD 61,2025-11-04_22:10:33.090663
Total,,WRITE-IN,&nbsp,68,AD 61,2025-11-04_22:10:33.090663
ED    1,0.00%,Michael T. Colombo,(Democratic),87,AD 62,2025-11-04_22:10:33.090663
ED    1,0.00%,Vito Fossella,(Republican),803,AD 62,2025-11-04_22:10:33.090663
