ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    3,99.00%,Dagmar Plaza-Gonzalez,(Democratic),85,AD 54,2025-11-06_10:54:40.589716
ED    3,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED    4,99.00%,Duane Frankson,(Democratic),289,AD 54,2025-11-06_10:54:40.589716
ED    4,99.00%,Dagmar Plaza-Gonzalez,(Democratic),257,AD 54,2025-11-06_10:54:40.589716
ED    4,99.00%,WRITE-IN,&nbsp,2,AD 54,2025-11-06_10:54:40.589716
ED    5,99.00%,Duane Frankson,(Democratic),124,AD 54,2025-11-06_10:54:40.589716
ED    5,99.00%,Dagmar Plaza-Gonzalez,(Democratic),122,AD 54,2025-11-06_10:54:40.589716
ED    5,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED    6,99.00%,Duane Frankson,(Democratic),130,AD 54,2025-11-06_10:54:40.589716
ED    6,99.00%,Dagmar Plaza-Gonzalez,(Democratic),105,AD 54,2025-11-06_10:54:40.589716
ED    6,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED    7,99.00%,Duane Frankson,(Democratic),254,AD 54,2025-11-06_10:54:40.589716
ED    7,99.00%,Dagmar Plaza-Gonzalez,(Democratic),226,AD 54,2025-11-06_10:54:40.589716
ED    7,99.00%,WRITE-IN,&nbsp,7,AD 54,2025-11-06_10:54:40.589716
ED    8,99.00%,Duane Frankson,(Democratic),176,AD 54,2025-11-06_10:54:40.589716
ED    8,99.00%,Dagmar Plaza-Gonzalez,(Democratic),167,AD 54,2025-11-06_10:54:40.589716
ED    8,99.00%,WRITE-IN,&nbsp,11,AD 54,2025-11-06_10:54:40.589716
ED    9,99.00%,Duane Frankson,(Democratic),159,AD 54,2025-11-06_10:54:40.589716
ED    9,99.00%,Dagmar Plaza-Gonzalez,(Democratic),157,AD 54,2025-11-06_10:54:40.589716
ED    9,99.00%,WRITE-IN,&nbsp,3,AD 54,2025-11-06_10:54:40.589716
ED   10,99.00%,Duane Frankson,(Democratic),200,AD 54,2025-11-06_10:54:40.589716
ED   10,99.00%,Dagmar Plaza-Gonzalez,(Democratic),172,AD 54,2025-11-06_10:54:40.589716
ED   10,99.00%,WRITE-IN,&nbsp,5,AD 54,2025-11-06_10:54:40.589716
ED   11,99.00%,Duane Frankson,(Democratic),167,AD 54,2025-11-06_10:54:40.589716
ED   11,99.00%,Dagmar Plaza-Gonzalez,(Democratic),162,AD 54,2025-11-06_10:54:40.589716
ED   11,99.00%,WRITE-IN,&nbsp,3,AD 54,2025-11-06_10:54:40.589716
ED   12,99.00%,Duane Frankson,(Democratic),167,AD 54,2025-11-06_10:54:40.589716
ED   12,99.00%,Dagmar Plaza-Gonzalez,(Democratic),144,AD 54,2025-11-06_10:54:40.589716
ED   12,99.00%,WRITE-IN,&nbsp,2,AD 54,2025-11-06_10:54:40.589716
ED   13,99.00%,Duane Frankson,(Democratic),131,AD 54,2025-11-06_10:54:40.589716
ED   13,99.00%,Dagmar Plaza-Gonzalez,(Democratic),115,AD 54,2025-11-06_10:54:40.589716
ED   13,99.00%,WRITE-IN,&nbsp,2,AD 54,2025-11-06_10:54:40.589716
ED   14,99.00%,Duane Frankson,(Democratic),150,AD 54,2025-11-06_10:54:40.589716
ED   14,99.00%,Dagmar Plaza-Gonzalez,(Democratic),118,AD 54,2025-11-06_10:54:40.589716
ED   14,99.00%,WRITE-IN,&nbsp,3,AD 54,2025-11-06_10:54:40.589716
ED   15,99.00%,Duane Frankson,(Democratic),156,AD 54,2025-11-06_10:54:40.589716
ED   15,99.00%,Dagmar Plaza-Gonzalez,(Democratic),113,AD 54,2025-11-06_10:54:40.589716
ED   15,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED   16,99.00%,Duane Frankson,(Democratic),94,AD 54,2025-11-06_10:54:40.589716
ED   16,99.00%,Dagmar Plaza-Gonzalez,(Democratic),65,AD 54,2025-11-06_10:54:40.589716
ED   16,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED   17,99.00%,Duane Frankson,(Democratic),141,AD 54,2025-11-06_10:54:40.589716
ED   17,99.00%,Dagmar Plaza-Gonzalez,(Democratic),122,AD 54,2025-11-06_10:54:40.589716
ED   17,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED   18,99.00%,Duane Frankson,(Democratic),209,AD 54,2025-11-06_10:54:40.589716
ED   18,99.00%,Dagmar Plaza-Gonzalez,(Democratic),209,AD 54,2025-11-06_10:54:40.589716
ED   18,99.00%,WRITE-IN,&nbsp,3,AD 54,2025-11-06_10:54:40.589716
ED   19,99.00%,Duane Frankson,(Democratic),129,AD 54,2025-11-06_10:54:40.589716
ED   19,99.00%,Dagmar Plaza-Gonzalez,(Democratic),114,AD 54,2025-11-06_10:54:40.589716
ED   19,99.00%,WRITE-IN,&nbsp,3,AD 54,2025-11-06_10:54:40.589716
ED   20,99.00%,Duane Frankson,(Democratic),104,AD 54,2025-11-06_10:54:40.589716
ED   20,99.00%,Dagmar Plaza-Gonzalez,(Democratic),117,AD 54,2025-11-06_10:54:40.589716
ED   20,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED   21,99.00%,Duane Frankson,(Democratic),114,AD 54,2025-11-06_10:54:40.589716
ED   21,99.00%,Dagmar Plaza-Gonzalez,(Democratic),111,AD 54,2025-11-06_10:54:40.589716
ED   21,99.00%,WRITE-IN,&nbsp,2,AD 54,2025-11-06_10:54:40.589716
ED   22,99.00%,Duane Frankson,(Democratic),126,AD 54,2025-11-06_10:54:40.589716
ED   22,99.00%,Dagmar Plaza-Gonzalez,(Democratic),125,AD 54,2025-11-06_10:54:40.589716
ED   22,99.00%,WRITE-IN,&nbsp,5,AD 54,2025-11-06_10:54:40.589716
ED   23,99.00%,Duane Frankson,(Democratic),184,AD 54,2025-11-06_10:54:40.589716
ED   23,99.00%,Dagmar Plaza-Gonzalez,(Democratic),188,AD 54,2025-11-06_10:54:40.589716
ED   23,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED   24,99.00%,Duane Frankson,(Democratic),139,AD 54,2025-11-06_10:54:40.589716
ED   24,99.00%,Dagmar Plaza-Gonzalez,(Democratic),147,AD 54,2025-11-06_10:54:40.589716
ED   24,99.00%,WRITE-IN,&nbsp,6,AD 54,2025-11-06_10:54:40.589716
ED   25,99.00%,Duane Frankson,(Democratic),178,AD 54,2025-11-06_10:54:40.589716
ED   25,99.00%,Dagmar Plaza-Gonzalez,(Democratic),183,AD 54,2025-11-06_10:54:40.589716
ED   25,99.00%,WRITE-IN,&nbsp,4,AD 54,2025-11-06_10:54:40.589716
ED   26,99.00%,Duane Frankson,(Democratic),115,AD 54,2025-11-06_10:54:40.589716
ED   26,99.00%,Dagmar Plaza-Gonzalez,(Democratic),124,AD 54,2025-11-06_10:54:40.589716
ED   26,99.00%,WRITE-IN,&nbsp,1,AD 54,2025-11-06_10:54:40.589716
ED   27,99.00%,Duane Frankson,(Democratic),165,AD 54,2025-11-06_10:54:40.589716
ED   27,99.00%,Dagmar Plaza-Gonzalez,(Democratic),168,AD 54,2025-11-06_10:54:40.589716
ED   27,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED   28,99.00%,Duane Frankson,(Democratic),153,AD 54,2025-11-06_10:54:40.589716
ED   28,99.00%,Dagmar Plaza-Gonzalez,(Democratic),147,AD 54,2025-11-06_10:54:40.589716
ED   28,99.00%,WRITE-IN,&nbsp,4,AD 54,2025-11-06_10:54:40.589716
ED   29,99.00%,Duane Frankson,(Democratic),192,AD 54,2025-11-06_10:54:40.589716
ED   29,99.00%,Dagmar Plaza-Gonzalez,(Democratic),206,AD 54,2025-11-06_10:54:40.589716
ED   29,99.00%,WRITE-IN,&nbsp,2,AD 54,2025-11-06_10:54:40.589716
ED   30,99.00%,Duane Frankson,(Democratic),156,AD 54,2025-11-06_10:54:40.589716
ED   30,99.00%,Dagmar Plaza-Gonzalez,(Democratic),152,AD 54,2025-11-06_10:54:40.589716
ED   30,99.00%,WRITE-IN,&nbsp,4,AD 54,2025-11-06_10:54:40.589716
ED   31,99.00%,Duane Frankson,(Democratic),217,AD 54,2025-11-06_10:54:40.589716
ED   31,99.00%,Dagmar Plaza-Gonzalez,(Democratic),232,AD 54,2025-11-06_10:54:40.589716
ED   31,99.00%,WRITE-IN,&nbsp,6,AD 54,2025-11-06_10:54:40.589716
ED   32,99.00%,Duane Frankson,(Democratic),142,AD 54,2025-11-06_10:54:40.589716
ED   32,99.00%,Dagmar Plaza-Gonzalez,(Democratic),156,AD 54,2025-11-06_10:54:40.589716
ED   32,99.00%,WRITE-IN,&nbsp,4,AD 54,2025-11-06_10:54:40.589716
ED   33,99.00%,Duane Frankson,(Democratic),221,AD 54,2025-11-06_10:54:40.589716
ED   33,99.00%,Dagmar Plaza-Gonzalez,(Democratic),209,AD 54,2025-11-06_10:54:40.589716
ED   33,99.00%,WRITE-IN,&nbsp,2,AD 54,2025-11-06_10:54:40.589716
ED   34,99.00%,Duane Frankson,(Democratic),175,AD 54,2025-11-06_10:54:40.589716
ED   34,99.00%,Dagmar Plaza-Gonzalez,(Democratic),188,AD 54,2025-11-06_10:54:40.589716
ED   34,99.00%,WRITE-IN,&nbsp,0,AD 54,2025-11-06_10:54:40.589716
ED   35,99.00%,Duane Frankson,(Democratic),287,AD 54,2025-11-06_10:54:40.589716
ED   35,99.00%,Dagmar Plaza-Gonzalez,(Democratic),285,AD 54,2025-11-06_10:54:40.589716
ED   35,99.00%,WRITE-IN,&nbsp,7,AD 54,2025-11-06_10:54:40.589716
ED   36,99.00%,Duane Frankson,(Democratic),300,AD 54,2025-11-06_10:54:40.589716
ED   36,99.00%,Dagmar Plaza-Gonzalez,(Democratic),301,AD 54,2025-11-06_10:54:40.589716
