ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   25,0.00%,Remy Smith,(Conservative),10,AD 61,2025-11-04_22:11:55.678813
ED   25,0.00%,WRITE-IN,&nbsp,2,AD 61,2025-11-04_22:11:55.678813
ED   26,0.00%,Matthew J. Santamauro,(Democratic),228,AD 61,2025-11-04_22:11:55.678813
ED   26,0.00%,Remy Smith,(Republican),361,AD 61,2025-11-04_22:11:55.678813
ED   26,0.00%,Remy Smith,(Conservative),35,AD 61,2025-11-04_22:11:55.678813
ED   26,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:11:55.678813
ED   27,0.00%,Matthew J. Santamauro,(Democratic),180,AD 61,2025-11-04_22:11:55.678813
ED   27,0.00%,Remy Smith,(Republican),240,AD 61,2025-11-04_22:11:55.678813
ED   27,0.00%,Remy Smith,(Conservative),15,AD 61,2025-11-04_22:11:55.678813
ED   27,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:11:55.678813
ED   28,0.00%,Matthew J. Santamauro,(Democratic),284,AD 61,2025-11-04_22:11:55.678813
ED   28,0.00%,Remy Smith,(Republican),154,AD 61,2025-11-04_22:11:55.678813
ED   28,0.00%,Remy Smith,(Conservative),16,AD 61,2025-11-04_22:11:55.678813
ED   28,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:11:55.678813
ED   29,0.00%,Matthew J. Santamauro,(Democratic),396,AD 61,2025-11-04_22:11:55.678813
ED   29,0.00%,Remy Smith,(Republican),127,AD 61,2025-11-04_22:11:55.678813
ED   29,0.00%,Remy Smith,(Conservative),16,AD 61,2025-11-04_22:11:55.678813
ED   29,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:11:55.678813
ED   30,0.00%,Matthew J. Santamauro,(Democratic),394,AD 61,2025-11-04_22:11:55.678813
ED   30,0.00%,Remy Smith,(Republican),91,AD 61,2025-11-04_22:11:55.678813
ED   30,0.00%,Remy Smith,(Conservative),11,AD 61,2025-11-04_22:11:55.678813
ED   30,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:11:55.678813
ED   31,0.00%,Matthew J. Santamauro,(Democratic),357,AD 61,2025-11-04_22:11:55.678813
ED   31,0.00%,Remy Smith,(Republican),232,AD 61,2025-11-04_22:11:55.678813
ED   31,0.00%,Remy Smith,(Conservative),18,AD 61,2025-11-04_22:11:55.678813
ED   31,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:11:55.678813
ED   32,0.00%,Matthew J. Santamauro,(Democratic),327,AD 61,2025-11-04_22:11:55.678813
ED   32,0.00%,Remy Smith,(Republican),220,AD 61,2025-11-04_22:11:55.678813
ED   32,0.00%,Remy Smith,(Conservative),23,AD 61,2025-11-04_22:11:55.678813
ED   32,0.00%,WRITE-IN,&nbsp,2,AD 61,2025-11-04_22:11:55.678813
ED   33,0.00%,Matthew J. Santamauro,(Democratic),353,AD 61,2025-11-04_22:11:55.678813
ED   33,0.00%,Remy Smith,(Republican),101,AD 61,2025-11-04_22:11:55.678813
ED   33,0.00%,Remy Smith,(Conservative),11,AD 61,2025-11-04_22:11:55.678813
ED   33,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:11:55.678813
ED   34,0.00%,Matthew J. Santamauro,(Democratic),296,AD 61,2025-11-04_22:11:55.678813
ED   34,0.00%,Remy Smith,(Republican),96,AD 61,2025-11-04_22:11:55.678813
ED   34,0.00%,Remy Smith,(Conservative),15,AD 61,2025-11-04_22:11:55.678813
ED   34,0.00%,WRITE-IN,&nbsp,2,AD 61,2025-11-04_22:11:55.678813
ED   35,0.00%,Matthew J. Santamauro,(Democratic),361,AD 61,2025-11-04_22:11:55.678813
ED   35,0.00%,Remy Smith,(Republican),112,AD 61,2025-11-04_22:11:55.678813
ED   35,0.00%,Remy Smith,(Conservative),11,AD 61,2025-11-04_22:11:55.678813
ED   35,0.00%,WRITE-IN,&nbsp,2,AD 61,2025-11-04_22:11:55.678813
ED   36,0.00%,Matthew J. Santamauro,(Democratic),386,AD 61,2025-11-04_22:11:55.678813
ED   36,0.00%,Remy Smith,(Republican),136,AD 61,2025-11-04_22:11:55.678813
ED   36,0.00%,Remy Smith,(Conservative),8,AD 61,2025-11-04_22:11:55.678813
ED   36,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:11:55.678813
ED   37,0.00%,Matthew J. Santamauro,(Democratic),417,AD 61,2025-11-04_22:11:55.678813
ED   37,0.00%,Remy Smith,(Republican),129,AD 61,2025-11-04_22:11:55.678813
ED   37,0.00%,Remy Smith,(Conservative),12,AD 61,2025-11-04_22:11:55.678813
ED   37,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:11:55.678813
ED   38,0.00%,Matthew J. Santamauro,(Democratic),416,AD 61,2025-11-04_22:11:55.678813
ED   38,0.00%,Remy Smith,(Republican),186,AD 61,2025-11-04_22:11:55.678813
ED   38,0.00%,Remy Smith,(Conservative),19,AD 61,2025-11-04_22:11:55.678813
ED   38,0.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-04_22:11:55.678813
ED   39,0.00%,Matthew J. Santamauro,(Democratic),368,AD 61,2025-11-04_22:11:55.678813
ED   39,0.00%,Remy Smith,(Republican),215,AD 61,2025-11-04_22:11:55.678813
ED   39,0.00%,Remy Smith,(Conservative),10,AD 61,2025-11-04_22:11:55.678813
ED   39,0.00%,WRITE-IN,&nbsp,-,AD 61,2025-11-04_22:11:55.678813
ED   40,0.00%,Matthew J. Santamauro,(Democratic),239,AD 61,2025-11-04_22:11:55.678813
ED   40,0.00%,Remy Smith,(Republican),487,AD 61,2025-11-04_22:11:55.678813
ED   40,0.00%,Remy Smith,(Conservative),59,AD 61,2025-11-04_22:11:55.678813
ED   40,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:11:55.678813
ED   41,0.00%,Matthew J. Santamauro,(Democratic),309,AD 61,2025-11-04_22:11:55.678813
ED   41,0.00%,Remy Smith,(Republican),502,AD 61,2025-11-04_22:11:55.678813
ED   41,0.00%,Remy Smith,(Conservative),23,AD 61,2025-11-04_22:11:55.678813
ED   41,0.00%,WRITE-IN,&nbsp,2,AD 61,2025-11-04_22:11:55.678813
ED   42,0.00%,Matthew J. Santamauro,(Democratic),248,AD 61,2025-11-04_22:11:55.678813
ED   42,0.00%,Remy Smith,(Republican),490,AD 61,2025-11-04_22:11:55.678813
ED   42,0.00%,Remy Smith,(Conservative),40,AD 61,2025-11-04_22:11:55.678813
ED   42,0.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-04_22:11:55.678813
ED   43,0.00%,Matthew J. Santamauro,(Democratic),272,AD 61,2025-11-04_22:11:55.678813
