boro,reported,candidate,party,votes,scrape_time
New York,97.98%,Onya Brinson,(Democratic),55818,2025-11-05_01:52:42.639804
New York,97.98%,WRITE-IN,,485,2025-11-05_01:52:42.639804
Total,,Onya Brinson,(Democratic),55818,2025-11-05_01:52:42.639804
Total,,WRITE-IN,,485,2025-11-05_01:52:42.639804
