boro,reported,candidate,party,votes,scrape_time
Bronx,99.00%,Shirley Aldebol,(Democratic),15416,2025-11-06_10:54:10.489169
Bronx,99.00%,Kristy Marmorato,(Republican),13873,2025-11-06_10:54:10.489169
Bronx,99.00%,Kristy Marmorato,(Conservative),1659,2025-11-06_10:54:10.489169
Bronx,99.00%,Shirley Aldebol,(Working Families),1929,2025-11-06_10:54:10.489169
Bronx,99.00%,Joel Rivera,(The Unity ),700,2025-11-06_10:54:10.489169
Bronx,99.00%,WRITE-IN,,44,2025-11-06_10:54:10.489169
Total,,Shirley Aldebol,(Democratic),15416,2025-11-06_10:54:10.489169
Total,,Kristy Marmorato,(Republican),13873,2025-11-06_10:54:10.489169
Total,,Kristy Marmorato,(Conservative),1659,2025-11-06_10:54:10.489169
Total,,Shirley Aldebol,(Working Families),1929,2025-11-06_10:54:10.489169
Total,,Joel Rivera,(The Unity ),700,2025-11-06_10:54:10.489169
Total,,WRITE-IN,,44,2025-11-06_10:54:10.489169
