boro,reported,candidate,party,votes,scrape_time
New York,97.66%,YES,,289789,2025-11-06_10:54:53.704341
New York,97.66%,NO,,171259,2025-11-06_10:54:53.704341
Bronx,96.86%,YES,,121851,2025-11-06_10:54:53.704341
Bronx,96.86%,NO,,65862,2025-11-06_10:54:53.704341
Kings,97.36%,YES,,308891,2025-11-06_10:54:53.704341
Kings,97.36%,NO,,240893,2025-11-06_10:54:53.704341
Queens,96.47%,YES,,231545,2025-11-06_10:54:53.704341
Queens,96.47%,NO,,193825,2025-11-06_10:54:53.704341
Richmond,98.45%,YES,,41795,2025-11-06_10:54:53.704341
Richmond,98.45%,NO,,85750,2025-11-06_10:54:53.704341
Total,,YES,,993871,2025-11-06_10:54:53.704341
Total,,NO,,757589,2025-11-06_10:54:53.704341
