ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    6,0.00%,Zohran Kwame Mamdani,(Working Families),13,AD 23,2025-11-04_22:09:50.047256
ED    6,0.00%,Curtis A. Sliwa,(Protect Animals),10,AD 23,2025-11-04_22:09:50.047256
ED    6,0.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),2,AD 23,2025-11-04_22:09:50.047256
ED    6,0.00%,Joseph Hernandez,(Quality of Life),1,AD 23,2025-11-04_22:09:50.047256
ED    6,0.00%,Andrew M. Cuomo,(Fight and Deliver),660,AD 23,2025-11-04_22:09:50.047256
ED    6,0.00%,Jim Walden,(Integrity),-,AD 23,2025-11-04_22:09:50.047256
ED    6,0.00%,WRITE-IN,&nbsp,1,AD 23,2025-11-04_22:09:50.047256
ED    7,0.00%,Zohran Kwame Mamdani,(Democratic),131,AD 23,2025-11-04_22:09:50.047256
ED    7,0.00%,Curtis A. Sliwa,(Republican),351,AD 23,2025-11-04_22:09:50.047256
ED    7,0.00%,Irene Estrada,(Conservative),3,AD 23,2025-11-04_22:09:50.047256
ED    7,0.00%,Zohran Kwame Mamdani,(Working Families),17,AD 23,2025-11-04_22:09:50.047256
ED    7,0.00%,Curtis A. Sliwa,(Protect Animals),11,AD 23,2025-11-04_22:09:50.047256
ED    7,0.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),4,AD 23,2025-11-04_22:09:50.047256
ED    7,0.00%,Joseph Hernandez,(Quality of Life),4,AD 23,2025-11-04_22:09:50.047256
ED    7,0.00%,Andrew M. Cuomo,(Fight and Deliver),629,AD 23,2025-11-04_22:09:50.047256
ED    7,0.00%,Jim Walden,(Integrity),1,AD 23,2025-11-04_22:09:50.047256
ED    7,0.00%,WRITE-IN,&nbsp,7,AD 23,2025-11-04_22:09:50.047256
ED    8,0.00%,Zohran Kwame Mamdani,(Democratic),67,AD 23,2025-11-04_22:09:50.047256
ED    8,0.00%,Curtis A. Sliwa,(Republican),119,AD 23,2025-11-04_22:09:50.047256
ED    8,0.00%,Irene Estrada,(Conservative),-,AD 23,2025-11-04_22:09:50.047256
ED    8,0.00%,Zohran Kwame Mamdani,(Working Families),13,AD 23,2025-11-04_22:09:50.047256
ED    8,0.00%,Curtis A. Sliwa,(Protect Animals),9,AD 23,2025-11-04_22:09:50.047256
ED    8,0.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),-,AD 23,2025-11-04_22:09:50.047256
ED    8,0.00%,Joseph Hernandez,(Quality of Life),-,AD 23,2025-11-04_22:09:50.047256
ED    8,0.00%,Andrew M. Cuomo,(Fight and Deliver),167,AD 23,2025-11-04_22:09:50.047256
ED    8,0.00%,Jim Walden,(Integrity),2,AD 23,2025-11-04_22:09:50.047256
ED    8,0.00%,WRITE-IN,&nbsp,-,AD 23,2025-11-04_22:09:50.047256
ED    9,0.00%,Zohran Kwame Mamdani,(Democratic),68,AD 23,2025-11-04_22:09:50.047256
ED    9,0.00%,Curtis A. Sliwa,(Republican),54,AD 23,2025-11-04_22:09:50.047256
ED    9,0.00%,Irene Estrada,(Conservative),-,AD 23,2025-11-04_22:09:50.047256
ED    9,0.00%,Zohran Kwame Mamdani,(Working Families),8,AD 23,2025-11-04_22:09:50.047256
ED    9,0.00%,Curtis A. Sliwa,(Protect Animals),1,AD 23,2025-11-04_22:09:50.047256
ED    9,0.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),-,AD 23,2025-11-04_22:09:50.047256
ED    9,0.00%,Joseph Hernandez,(Quality of Life),-,AD 23,2025-11-04_22:09:50.047256
ED    9,0.00%,Andrew M. Cuomo,(Fight and Deliver),97,AD 23,2025-11-04_22:09:50.047256
ED    9,0.00%,Jim Walden,(Integrity),-,AD 23,2025-11-04_22:09:50.047256
ED    9,0.00%,WRITE-IN,&nbsp,1,AD 23,2025-11-04_22:09:50.047256
ED   10,0.00%,Zohran Kwame Mamdani,(Democratic),150,AD 23,2025-11-04_22:09:50.047256
ED   10,0.00%,Curtis A. Sliwa,(Republican),289,AD 23,2025-11-04_22:09:50.047256
ED   10,0.00%,Irene Estrada,(Conservative),-,AD 23,2025-11-04_22:09:50.047256
ED   10,0.00%,Zohran Kwame Mamdani,(Working Families),14,AD 23,2025-11-04_22:09:50.047256
ED   10,0.00%,Curtis A. Sliwa,(Protect Animals),13,AD 23,2025-11-04_22:09:50.047256
ED   10,0.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),-,AD 23,2025-11-04_22:09:50.047256
ED   10,0.00%,Joseph Hernandez,(Quality of Life),-,AD 23,2025-11-04_22:09:50.047256
ED   10,0.00%,Andrew M. Cuomo,(Fight and Deliver),474,AD 23,2025-11-04_22:09:50.047256
ED   10,0.00%,Jim Walden,(Integrity),3,AD 23,2025-11-04_22:09:50.047256
ED   10,0.00%,WRITE-IN,&nbsp,2,AD 23,2025-11-04_22:09:50.047256
ED   11,0.00%,Zohran Kwame Mamdani,(Democratic),240,AD 23,2025-11-04_22:09:50.047256
ED   11,0.00%,Curtis A. Sliwa,(Republican),77,AD 23,2025-11-04_22:09:50.047256
ED   11,0.00%,Irene Estrada,(Conservative),1,AD 23,2025-11-04_22:09:50.047256
ED   11,0.00%,Zohran Kwame Mamdani,(Working Families),29,AD 23,2025-11-04_22:09:50.047256
ED   11,0.00%,Curtis A. Sliwa,(Protect Animals),5,AD 23,2025-11-04_22:09:50.047256
ED   11,0.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),3,AD 23,2025-11-04_22:09:50.047256
ED   11,0.00%,Joseph Hernandez,(Quality of Life),-,AD 23,2025-11-04_22:09:50.047256
ED   11,0.00%,Andrew M. Cuomo,(Fight and Deliver),234,AD 23,2025-11-04_22:09:50.047256
ED   11,0.00%,Jim Walden,(Integrity),1,AD 23,2025-11-04_22:09:50.047256
ED   11,0.00%,WRITE-IN,&nbsp,-,AD 23,2025-11-04_22:09:50.047256
ED   12,0.00%,Zohran Kwame Mamdani,(Democratic),79,AD 23,2025-11-04_22:09:50.047256
ED   12,0.00%,Curtis A. Sliwa,(Republican),20,AD 23,2025-11-04_22:09:50.047256
ED   12,0.00%,Irene Estrada,(Conservative),-,AD 23,2025-11-04_22:09:50.047256
ED   12,0.00%,Zohran Kwame Mamdani,(Working Families),16,AD 23,2025-11-04_22:09:50.047256
ED   12,0.00%,Curtis A. Sliwa,(Protect Animals),3,AD 23,2025-11-04_22:09:50.047256
ED   12,0.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),2,AD 23,2025-11-04_22:09:50.047256
ED   12,0.00%,Joseph Hernandez,(Quality of Life),-,AD 23,2025-11-04_22:09:50.047256
ED   12,0.00%,Andrew M. Cuomo,(Fight and Deliver),51,AD 23,2025-11-04_22:09:50.047256
ED   12,0.00%,Jim Walden,(Integrity),1,AD 23,2025-11-04_22:09:50.047256
ED   12,0.00%,WRITE-IN,&nbsp,-,AD 23,2025-11-04_22:09:50.047256
ED   13,0.00%,Zohran Kwame Mamdani,(Democratic),170,AD 23,2025-11-04_22:09:50.047256
ED   13,0.00%,Curtis A. Sliwa,(Republican),74,AD 23,2025-11-04_22:09:50.047256
ED   13,0.00%,Irene Estrada,(Conservative),1,AD 23,2025-11-04_22:09:50.047256
ED   13,0.00%,Zohran Kwame Mamdani,(Working Families),38,AD 23,2025-11-04_22:09:50.047256
ED   13,0.00%,Curtis A. Sliwa,(Protect Animals),7,AD 23,2025-11-04_22:09:50.047256
ED   13,0.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),-,AD 23,2025-11-04_22:09:50.047256
ED   13,0.00%,Joseph Hernandez,(Quality of Life),-,AD 23,2025-11-04_22:09:50.047256
ED   13,0.00%,Andrew M. Cuomo,(Fight and Deliver),168,AD 23,2025-11-04_22:09:50.047256
ED   13,0.00%,Jim Walden,(Integrity),-,AD 23,2025-11-04_22:09:50.047256
ED   13,0.00%,WRITE-IN,&nbsp,1,AD 23,2025-11-04_22:09:50.047256
ED   14,0.00%,Zohran Kwame Mamdani,(Democratic),143,AD 23,2025-11-04_22:09:50.047256
ED   14,0.00%,Curtis A. Sliwa,(Republican),122,AD 23,2025-11-04_22:09:50.047256
ED   14,0.00%,Irene Estrada,(Conservative),2,AD 23,2025-11-04_22:09:50.047256
ED   14,0.00%,Zohran Kwame Mamdani,(Working Families),11,AD 23,2025-11-04_22:09:50.047256
ED   14,0.00%,Curtis A. Sliwa,(Protect Animals),12,AD 23,2025-11-04_22:09:50.047256
ED   14,0.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),1,AD 23,2025-11-04_22:09:50.047256
ED   14,0.00%,Joseph Hernandez,(Quality of Life),1,AD 23,2025-11-04_22:09:50.047256
ED   14,0.00%,Andrew M. Cuomo,(Fight and Deliver),269,AD 23,2025-11-04_22:09:50.047256
ED   14,0.00%,Jim Walden,(Integrity),-,AD 23,2025-11-04_22:09:50.047256
ED   14,0.00%,WRITE-IN,&nbsp,1,AD 23,2025-11-04_22:09:50.047256
ED   15,0.00%,Zohran Kwame Mamdani,(Democratic),114,AD 23,2025-11-04_22:09:50.047256
ED   15,0.00%,Curtis A. Sliwa,(Republican),106,AD 23,2025-11-04_22:09:50.047256
ED   15,0.00%,Irene Estrada,(Conservative),1,AD 23,2025-11-04_22:09:50.047256
ED   15,0.00%,Zohran Kwame Mamdani,(Working Families),13,AD 23,2025-11-04_22:09:50.047256
ED   15,0.00%,Curtis A. Sliwa,(Protect Animals),10,AD 23,2025-11-04_22:09:50.047256
ED   15,0.00%,Eric L. Adams,(Safe&Affordable/EndAntiSemitism),1,AD 23,2025-11-04_22:09:50.047256
ED   15,0.00%,Joseph Hernandez,(Quality of Life),1,AD 23,2025-11-04_22:09:50.047256
ED   15,0.00%,Andrew M. Cuomo,(Fight and Deliver),252,AD 23,2025-11-04_22:09:50.047256
ED   15,0.00%,Jim Walden,(Integrity),1,AD 23,2025-11-04_22:09:50.047256
ED   15,0.00%,WRITE-IN,&nbsp,1,AD 23,2025-11-04_22:09:50.047256
ED   16,0.00%,Zohran Kwame Mamdani,(Democratic),88,AD 23,2025-11-04_22:09:50.047256
