AD_num,reported,candidate,party,votes,scrape_time
AD   66,99.00%,Erik D. Bottcher,(Democratic),13075,2025-11-06_10:54:04.841981
AD   66,99.00%,Dominick Romeo,(A Blue Collar/Fight and Deliver),1297,2025-11-06_10:54:04.841981
AD   66,99.00%,WRITE-IN,,93,2025-11-06_10:54:04.841981
AD   67,95.65%,Erik D. Bottcher,(Democratic),5393,2025-11-06_10:54:04.841981
AD   67,95.65%,Dominick Romeo,(A Blue Collar/Fight and Deliver),540,2025-11-06_10:54:04.841981
AD   67,95.65%,WRITE-IN,,40,2025-11-06_10:54:04.841981
AD   74,99.00%,Erik D. Bottcher,(Democratic),152,2025-11-06_10:54:04.841981
AD   74,99.00%,Dominick Romeo,(A Blue Collar/Fight and Deliver),17,2025-11-06_10:54:04.841981
AD   74,99.00%,WRITE-IN,,1,2025-11-06_10:54:04.841981
AD   75,96.74%,Erik D. Bottcher,(Democratic),26119,2025-11-06_10:54:04.841981
AD   75,96.74%,Dominick Romeo,(A Blue Collar/Fight and Deliver),2801,2025-11-06_10:54:04.841981
AD   75,96.74%,WRITE-IN,,252,2025-11-06_10:54:04.841981
Total,,Erik D. Bottcher,(Democratic),44739,2025-11-06_10:54:04.841981
Total,,Dominick Romeo,(A Blue Collar/Fight and Deliver),4655,2025-11-06_10:54:04.841981
Total,,WRITE-IN,,386,2025-11-06_10:54:04.841981
