boro,reported,candidate,party,votes,scrape_time
Kings,98.63%,Alexa Aviles,(Democratic),14739,2025-11-06_10:54:25.640771
Kings,98.63%,Luis E. Quero,(Republican),6458,2025-11-06_10:54:25.640771
Kings,98.63%,Luis E. Quero,(Conservative),801,2025-11-06_10:54:25.640771
Kings,98.63%,Alexa Aviles,(Working Families),5012,2025-11-06_10:54:25.640771
Kings,98.63%,WRITE-IN,,97,2025-11-06_10:54:25.640771
Total,,Alexa Aviles,(Democratic),14739,2025-11-06_10:54:25.640771
Total,,Luis E. Quero,(Republican),6458,2025-11-06_10:54:25.640771
Total,,Luis E. Quero,(Conservative),801,2025-11-06_10:54:25.640771
Total,,Alexa Aviles,(Working Families),5012,2025-11-06_10:54:25.640771
Total,,WRITE-IN,,97,2025-11-06_10:54:25.640771
