boro,reported,candidate,party,votes,scrape_time
Richmond,98.45%,Raymond L. Rodriguez,(Democratic),51452,2025-11-06_10:53:46.35342
Richmond,98.45%,Matthew P. Blum,(Republican),86880,2025-11-06_10:53:46.35342
Richmond,98.45%,WRITE-IN,,158,2025-11-06_10:53:46.35342
Total,,Raymond L. Rodriguez,(Democratic),51452,2025-11-06_10:53:46.35342
Total,,Matthew P. Blum,(Republican),86880,2025-11-06_10:53:46.35342
Total,,WRITE-IN,,158,2025-11-06_10:53:46.35342
