boro,reported,candidate,party,votes,scrape_time
Richmond,99.00%,Clifford A. Hagen,(Democratic),11922,2025-11-06_10:54:34.075721
Richmond,99.00%,Frank Morano,(Republican),42032,2025-11-06_10:54:34.075721
Richmond,99.00%,Frank Morano,(Conservative),2790,2025-11-06_10:54:34.075721
Richmond,99.00%,John K. Buthorn,(Patriot Workers),1010,2025-11-06_10:54:34.075721
Richmond,99.00%,WRITE-IN,,98,2025-11-06_10:54:34.075721
Total,,Clifford A. Hagen,(Democratic),11922,2025-11-06_10:54:34.075721
Total,,Frank Morano,(Republican),42032,2025-11-06_10:54:34.075721
Total,,Frank Morano,(Conservative),2790,2025-11-06_10:54:34.075721
Total,,John K. Buthorn,(Patriot Workers),1010,2025-11-06_10:54:34.075721
Total,,WRITE-IN,,98,2025-11-06_10:54:34.075721
