boro,reported,candidate,party,votes,scrape_time
Kings,97.36%,Janice Chen,(Democratic),425252,2025-11-06_10:53:59.012304
Kings,97.36%,Marisa Arrabito,(Democratic),382719,2025-11-06_10:53:59.012304
Kings,97.36%,WRITE-IN,,8902,2025-11-06_10:53:59.012304
Total,,Janice Chen,(Democratic),425252,2025-11-06_10:53:59.012304
Total,,Marisa Arrabito,(Democratic),382719,2025-11-06_10:53:59.012304
Total,,WRITE-IN,,8902,2025-11-06_10:53:59.012304
