AD_num,reported,candidate,party,votes,scrape_time
AD   37,66.67%,Judy Kim,(Democratic),0,2025-11-06_10:53:39.057595
AD   37,66.67%,Suzanne Adams,(Democratic),0,2025-11-06_10:53:39.057595
AD   37,66.67%,James G. Clynes,(Democratic),0,2025-11-06_10:53:39.057595
AD   37,66.67%,Deborah A. Kaplan,(Democratic),0,2025-11-06_10:53:39.057595
AD   37,66.67%,Gowri Krishna,(Working Families),0,2025-11-06_10:53:39.057595
AD   37,66.67%,Jared Trujillo,(Working Families),0,2025-11-06_10:53:39.057595
AD   37,66.67%,WRITE-IN,,0,2025-11-06_10:53:39.057595
AD   61,99.00%,Judy Kim,(Democratic),4483,2025-11-06_10:53:39.057595
AD   61,99.00%,Suzanne Adams,(Democratic),4171,2025-11-06_10:53:39.057595
AD   61,99.00%,James G. Clynes,(Democratic),3904,2025-11-06_10:53:39.057595
AD   61,99.00%,Deborah A. Kaplan,(Democratic),4144,2025-11-06_10:53:39.057595
AD   61,99.00%,Gowri Krishna,(Working Families),850,2025-11-06_10:53:39.057595
AD   61,99.00%,Jared Trujillo,(Working Families),844,2025-11-06_10:53:39.057595
AD   61,99.00%,WRITE-IN,,271,2025-11-06_10:53:39.057595
AD   65,99.00%,Judy Kim,(Democratic),21359,2025-11-06_10:53:39.057595
AD   65,99.00%,Suzanne Adams,(Democratic),18531,2025-11-06_10:53:39.057595
AD   65,99.00%,James G. Clynes,(Democratic),16283,2025-11-06_10:53:39.057595
AD   65,99.00%,Deborah A. Kaplan,(Democratic),17802,2025-11-06_10:53:39.057595
AD   65,99.00%,Gowri Krishna,(Working Families),6287,2025-11-06_10:53:39.057595
AD   65,99.00%,Jared Trujillo,(Working Families),6580,2025-11-06_10:53:39.057595
AD   65,99.00%,WRITE-IN,,626,2025-11-06_10:53:39.057595
AD   66,99.00%,Judy Kim,(Democratic),32523,2025-11-06_10:53:39.057595
AD   66,99.00%,Suzanne Adams,(Democratic),31285,2025-11-06_10:53:39.057595
AD   66,99.00%,James G. Clynes,(Democratic),29252,2025-11-06_10:53:39.057595
AD   66,99.00%,Deborah A. Kaplan,(Democratic),31375,2025-11-06_10:53:39.057595
AD   66,99.00%,Gowri Krishna,(Working Families),6584,2025-11-06_10:53:39.057595
AD   66,99.00%,Jared Trujillo,(Working Families),6599,2025-11-06_10:53:39.057595
AD   66,99.00%,WRITE-IN,,1038,2025-11-06_10:53:39.057595
AD   67,97.37%,Judy Kim,(Democratic),34687,2025-11-06_10:53:39.057595
AD   67,97.37%,Suzanne Adams,(Democratic),33206,2025-11-06_10:53:39.057595
AD   67,97.37%,James G. Clynes,(Democratic),30932,2025-11-06_10:53:39.057595
AD   67,97.37%,Deborah A. Kaplan,(Democratic),33179,2025-11-06_10:53:39.057595
AD   67,97.37%,Gowri Krishna,(Working Families),6165,2025-11-06_10:53:39.057595
AD   67,97.37%,Jared Trujillo,(Working Families),6264,2025-11-06_10:53:39.057595
AD   67,97.37%,WRITE-IN,,1255,2025-11-06_10:53:39.057595
AD   68,97.14%,Judy Kim,(Democratic),19116,2025-11-06_10:53:39.057595
AD   68,97.14%,Suzanne Adams,(Democratic),18014,2025-11-06_10:53:39.057595
AD   68,97.14%,James G. Clynes,(Democratic),15594,2025-11-06_10:53:39.057595
AD   68,97.14%,Deborah A. Kaplan,(Democratic),16821,2025-11-06_10:53:39.057595
AD   68,97.14%,Gowri Krishna,(Working Families),5068,2025-11-06_10:53:39.057595
