boro,reported,candidate,party,votes,scrape_time
Bronx,95.67%,Katherine A. O'Brien,(Democratic),82159,2025-11-06_10:54:36.900877
Bronx,95.67%,WRITE-IN,,984,2025-11-06_10:54:36.900877
Total,,Katherine A. O'Brien,(Democratic),82159,2025-11-06_10:54:36.900877
Total,,WRITE-IN,,984,2025-11-06_10:54:36.900877
