boro,reported,candidate,party,votes,scrape_time
Bronx,97.92%,Amanda C. Farias,(Democratic),20936,2025-11-06_10:54:13.553286
Bronx,97.92%,Shuvonkar Saha,(Republican),2247,2025-11-06_10:54:13.553286
Bronx,97.92%,Zenobia Merced Bonilla,(Conservative),559,2025-11-06_10:54:13.553286
Bronx,97.92%,Amanda C. Farias,(Working Families),2332,2025-11-06_10:54:13.553286
Bronx,97.92%,Wilfredo Hierrezuelo,(United Alliance),269,2025-11-06_10:54:13.553286
Bronx,97.92%,WRITE-IN,,65,2025-11-06_10:54:13.553286
Total,,Amanda C. Farias,(Democratic),20936,2025-11-06_10:54:13.553286
Total,,Shuvonkar Saha,(Republican),2247,2025-11-06_10:54:13.553286
Total,,Zenobia Merced Bonilla,(Conservative),559,2025-11-06_10:54:13.553286
Total,,Amanda C. Farias,(Working Families),2332,2025-11-06_10:54:13.553286
Total,,Wilfredo Hierrezuelo,(United Alliance),269,2025-11-06_10:54:13.553286
Total,,WRITE-IN,,65,2025-11-06_10:54:13.553286
