boro,reported,candidate,party,votes,scrape_time
Kings,99.00%,Farah N. Louis,(Democratic),31611,2025-11-06_10:54:30.188735
Kings,99.00%,Joshua Elijah Diaz,(Republican),3497,2025-11-06_10:54:30.188735
Kings,99.00%,Joshua Elijah Diaz,(Conservative),751,2025-11-06_10:54:30.188735
Kings,99.00%,Hatem El-Gamasy,(Safe&Affordable),1464,2025-11-06_10:54:30.188735
Kings,99.00%,WRITE-IN,,115,2025-11-06_10:54:30.188735
Total,,Farah N. Louis,(Democratic),31611,2025-11-06_10:54:30.188735
Total,,Joshua Elijah Diaz,(Republican),3497,2025-11-06_10:54:30.188735
Total,,Joshua Elijah Diaz,(Conservative),751,2025-11-06_10:54:30.188735
Total,,Hatem El-Gamasy,(Safe&Affordable),1464,2025-11-06_10:54:30.188735
Total,,WRITE-IN,,115,2025-11-06_10:54:30.188735
