boro,reported,candidate,party,votes,scrape_time
Kings,93.55%,Crystal Hudson,(Democratic),38324,2025-11-06_10:54:23.876934
Kings,93.55%,Benny Rosenberger,(Conservative),3056,2025-11-06_10:54:23.876934
Kings,93.55%,Crystal Hudson,(Working Families),14687,2025-11-06_10:54:23.876934
Kings,93.55%,Hector Robertson,(United Alliance),933,2025-11-06_10:54:23.876934
Kings,93.55%,WRITE-IN,,152,2025-11-06_10:54:23.876934
Total,,Crystal Hudson,(Democratic),38324,2025-11-06_10:54:23.876934
Total,,Benny Rosenberger,(Conservative),3056,2025-11-06_10:54:23.876934
Total,,Crystal Hudson,(Working Families),14687,2025-11-06_10:54:23.876934
Total,,Hector Robertson,(United Alliance),933,2025-11-06_10:54:23.876934
Total,,WRITE-IN,,152,2025-11-06_10:54:23.876934
