boro,reported,candidate,party,votes,scrape_time
Richmond,96.88%,Kamillah M. Hanks,(Democratic),19601,2025-11-06_10:54:32.814843
Richmond,96.88%,John E. Shea,(Republican),12220,2025-11-06_10:54:32.814843
Richmond,96.88%,Sarah Blas,(Working Families),3172,2025-11-06_10:54:32.814843
Richmond,96.88%,Sarah Blas,(New North Shore ),513,2025-11-06_10:54:32.814843
Richmond,96.88%,WRITE-IN,,87,2025-11-06_10:54:32.814843
Total,,Kamillah M. Hanks,(Democratic),19601,2025-11-06_10:54:32.814843
Total,,John E. Shea,(Republican),12220,2025-11-06_10:54:32.814843
Total,,Sarah Blas,(Working Families),3172,2025-11-06_10:54:32.814843
Total,,Sarah Blas,(New North Shore ),513,2025-11-06_10:54:32.814843
Total,,WRITE-IN,,87,2025-11-06_10:54:32.814843
