boro,reported,candidate,party,votes,scrape_time
Bronx,96.86%,Shekera Anessa Algarin,(Democratic),162473,2025-11-06_10:53:57.951099
Bronx,96.86%,WRITE-IN,,1930,2025-11-06_10:53:57.951099
Total,,Shekera Anessa Algarin,(Democratic),162473,2025-11-06_10:53:57.951099
Total,,WRITE-IN,,1930,2025-11-06_10:53:57.951099
