AD_num,reported,candidate,party,votes,scrape_time
AD   74,0.00%,WRITE-IN,,63,2025-11-04_22:10:20.434358
AD   75,0.00%,Alvin L. Bragg Jr.,(Democratic),26589,2025-11-04_22:10:20.434358
AD   75,0.00%,Maud Maron,(Republican),8178,2025-11-04_22:10:20.434358
AD   75,0.00%,Maud Maron,(Conservative),708,2025-11-04_22:10:20.434358
AD   75,0.00%,Alvin L. Bragg Jr.,(Working Families),3528,2025-11-04_22:10:20.434358
AD   75,0.00%,Diana J. Florence,(A Safer Manhattan),2275,2025-11-04_22:10:20.434358
AD   75,0.00%,WRITE-IN,,61,2025-11-04_22:10:20.434358
AD   76,0.00%,Alvin L. Bragg Jr.,(Democratic),30018,2025-11-04_22:10:20.434358
AD   76,0.00%,Maud Maron,(Republican),13865,2025-11-04_22:10:20.434358
AD   76,0.00%,Maud Maron,(Conservative),1060,2025-11-04_22:10:20.434358
AD   76,0.00%,Alvin L. Bragg Jr.,(Working Families),3430,2025-11-04_22:10:20.434358
AD   76,0.00%,Diana J. Florence,(A Safer Manhattan),2798,2025-11-04_22:10:20.434358
AD   76,0.00%,WRITE-IN,,59,2025-11-04_22:10:20.434358
Total,,Alvin L. Bragg Jr.,(Democratic),306557,2025-11-04_22:10:20.434358
Total,,Maud Maron,(Republican),90662,2025-11-04_22:10:20.434358
Total,,Maud Maron,(Conservative),8429,2025-11-04_22:10:20.434358
Total,,Alvin L. Bragg Jr.,(Working Families),48127,2025-11-04_22:10:20.434358
Total,,Diana J. Florence,(A Safer Manhattan),26451,2025-11-04_22:10:20.434358
Total,,WRITE-IN,,674,2025-11-04_22:10:20.434358
