ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   67,99.00%,Maud Maron,(Conservative),17,AD 61,2025-11-06_10:53:47.028996
ED   67,99.00%,Alvin L. Bragg Jr.,(Working Families),60,AD 61,2025-11-06_10:53:47.028996
ED   67,99.00%,Diana J. Florence,(A Safer Manhattan),29,AD 61,2025-11-06_10:53:47.028996
ED   67,99.00%,WRITE-IN,&nbsp,1,AD 61,2025-11-06_10:53:47.028996
ED   68,99.00%,Alvin L. Bragg Jr.,(Democratic),485,AD 61,2025-11-06_10:53:47.028996
ED   68,99.00%,Maud Maron,(Republican),257,AD 61,2025-11-06_10:53:47.028996
ED   68,99.00%,Maud Maron,(Conservative),24,AD 61,2025-11-06_10:53:47.028996
ED   68,99.00%,Alvin L. Bragg Jr.,(Working Families),67,AD 61,2025-11-06_10:53:47.028996
ED   68,99.00%,Diana J. Florence,(A Safer Manhattan),37,AD 61,2025-11-06_10:53:47.028996
ED   68,99.00%,WRITE-IN,&nbsp,3,AD 61,2025-11-06_10:53:47.028996
ED   69,99.00%,Alvin L. Bragg Jr.,(Democratic),0,AD 61,2025-11-06_10:53:47.028996
ED   69,99.00%,Maud Maron,(Republican),0,AD 61,2025-11-06_10:53:47.028996
ED   69,99.00%,Maud Maron,(Conservative),0,AD 61,2025-11-06_10:53:47.028996
ED   69,99.00%,Alvin L. Bragg Jr.,(Working Families),0,AD 61,2025-11-06_10:53:47.028996
ED   69,99.00%,Diana J. Florence,(A Safer Manhattan),0,AD 61,2025-11-06_10:53:47.028996
ED   69,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-11-06_10:53:47.028996
ED   70,99.00%,Alvin L. Bragg Jr.,(Democratic),0,AD 61,2025-11-06_10:53:47.028996
ED   70,99.00%,Maud Maron,(Republican),0,AD 61,2025-11-06_10:53:47.028996
ED   70,99.00%,Maud Maron,(Conservative),0,AD 61,2025-11-06_10:53:47.028996
ED   70,99.00%,Alvin L. Bragg Jr.,(Working Families),0,AD 61,2025-11-06_10:53:47.028996
ED   70,99.00%,Diana J. Florence,(A Safer Manhattan),0,AD 61,2025-11-06_10:53:47.028996
ED   70,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-11-06_10:53:47.028996
ED   71,99.00%,Alvin L. Bragg Jr.,(Democratic),0,AD 61,2025-11-06_10:53:47.028996
ED   71,99.00%,Maud Maron,(Republican),0,AD 61,2025-11-06_10:53:47.028996
ED   71,99.00%,Maud Maron,(Conservative),0,AD 61,2025-11-06_10:53:47.028996
ED   71,99.00%,Alvin L. Bragg Jr.,(Working Families),0,AD 61,2025-11-06_10:53:47.028996
ED   71,99.00%,Diana J. Florence,(A Safer Manhattan),0,AD 61,2025-11-06_10:53:47.028996
ED   71,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-11-06_10:53:47.028996
ED   72,99.00%,Alvin L. Bragg Jr.,(Democratic),0,AD 61,2025-11-06_10:53:47.028996
ED   72,99.00%,Maud Maron,(Republican),0,AD 61,2025-11-06_10:53:47.028996
ED   72,99.00%,Maud Maron,(Conservative),0,AD 61,2025-11-06_10:53:47.028996
ED   72,99.00%,Alvin L. Bragg Jr.,(Working Families),0,AD 61,2025-11-06_10:53:47.028996
ED   72,99.00%,Diana J. Florence,(A Safer Manhattan),0,AD 61,2025-11-06_10:53:47.028996
ED   72,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-11-06_10:53:47.028996
ED   73,99.00%,Alvin L. Bragg Jr.,(Democratic),0,AD 61,2025-11-06_10:53:47.028996
ED   73,99.00%,Maud Maron,(Republican),0,AD 61,2025-11-06_10:53:47.028996
ED   73,99.00%,Maud Maron,(Conservative),0,AD 61,2025-11-06_10:53:47.028996
ED   73,99.00%,Alvin L. Bragg Jr.,(Working Families),0,AD 61,2025-11-06_10:53:47.028996
ED   73,99.00%,Diana J. Florence,(A Safer Manhattan),0,AD 61,2025-11-06_10:53:47.028996
ED   73,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-11-06_10:53:47.028996
ED   74,99.00%,Alvin L. Bragg Jr.,(Democratic),0,AD 61,2025-11-06_10:53:47.028996
ED   74,99.00%,Maud Maron,(Republican),0,AD 61,2025-11-06_10:53:47.028996
ED   74,99.00%,Maud Maron,(Conservative),0,AD 61,2025-11-06_10:53:47.028996
ED   74,99.00%,Alvin L. Bragg Jr.,(Working Families),0,AD 61,2025-11-06_10:53:47.028996
ED   74,99.00%,Diana J. Florence,(A Safer Manhattan),0,AD 61,2025-11-06_10:53:47.028996
ED   74,99.00%,WRITE-IN,&nbsp,0,AD 61,2025-11-06_10:53:47.028996
Total,,Alvin L. Bragg Jr.,(Democratic),3659,AD 61,2025-11-06_10:53:47.028996
Total,,Maud Maron,(Republican),2182,AD 61,2025-11-06_10:53:47.028996
Total,,Maud Maron,(Conservative),191,AD 61,2025-11-06_10:53:47.028996
Total,,Alvin L. Bragg Jr.,(Working Families),363,AD 61,2025-11-06_10:53:47.028996
Total,,Diana J. Florence,(A Safer Manhattan),355,AD 61,2025-11-06_10:53:47.028996
Total,,WRITE-IN,&nbsp,13,AD 61,2025-11-06_10:53:47.028996
ED    1,99.00%,Alvin L. Bragg Jr.,(Democratic),467,AD 65,2025-11-06_10:53:47.028996
ED    1,99.00%,Maud Maron,(Republican),227,AD 65,2025-11-06_10:53:47.028996
ED    1,99.00%,Maud Maron,(Conservative),19,AD 65,2025-11-06_10:53:47.028996
ED    1,99.00%,Alvin L. Bragg Jr.,(Working Families),43,AD 65,2025-11-06_10:53:47.028996
ED    1,99.00%,Diana J. Florence,(A Safer Manhattan),39,AD 65,2025-11-06_10:53:47.028996
ED    1,99.00%,WRITE-IN,&nbsp,0,AD 65,2025-11-06_10:53:47.028996
ED    2,99.00%,Alvin L. Bragg Jr.,(Democratic),434,AD 65,2025-11-06_10:53:47.028996
ED    2,99.00%,Maud Maron,(Republican),160,AD 65,2025-11-06_10:53:47.028996
ED    2,99.00%,Maud Maron,(Conservative),13,AD 65,2025-11-06_10:53:47.028996
ED    2,99.00%,Alvin L. Bragg Jr.,(Working Families),51,AD 65,2025-11-06_10:53:47.028996
ED    2,99.00%,Diana J. Florence,(A Safer Manhattan),27,AD 65,2025-11-06_10:53:47.028996
ED    2,99.00%,WRITE-IN,&nbsp,2,AD 65,2025-11-06_10:53:47.028996
ED    3,99.00%,Alvin L. Bragg Jr.,(Democratic),506,AD 65,2025-11-06_10:53:47.028996
ED    3,99.00%,Maud Maron,(Republican),235,AD 65,2025-11-06_10:53:47.028996
ED    3,99.00%,Maud Maron,(Conservative),22,AD 65,2025-11-06_10:53:47.028996
ED    3,99.00%,Alvin L. Bragg Jr.,(Working Families),59,AD 65,2025-11-06_10:53:47.028996
ED    3,99.00%,Diana J. Florence,(A Safer Manhattan),39,AD 65,2025-11-06_10:53:47.028996
ED    3,99.00%,WRITE-IN,&nbsp,2,AD 65,2025-11-06_10:53:47.028996
ED    4,99.00%,Alvin L. Bragg Jr.,(Democratic),419,AD 65,2025-11-06_10:53:47.028996
ED    4,99.00%,Maud Maron,(Republican),199,AD 65,2025-11-06_10:53:47.028996
ED    4,99.00%,Maud Maron,(Conservative),15,AD 65,2025-11-06_10:53:47.028996
ED    4,99.00%,Alvin L. Bragg Jr.,(Working Families),51,AD 65,2025-11-06_10:53:47.028996
ED    4,99.00%,Diana J. Florence,(A Safer Manhattan),48,AD 65,2025-11-06_10:53:47.028996
ED    4,99.00%,WRITE-IN,&nbsp,0,AD 65,2025-11-06_10:53:47.028996
ED    5,99.00%,Alvin L. Bragg Jr.,(Democratic),384,AD 65,2025-11-06_10:53:47.028996
ED    5,99.00%,Maud Maron,(Republican),166,AD 65,2025-11-06_10:53:47.028996
ED    5,99.00%,Maud Maron,(Conservative),14,AD 65,2025-11-06_10:53:47.028996
ED    5,99.00%,Alvin L. Bragg Jr.,(Working Families),40,AD 65,2025-11-06_10:53:47.028996
ED    5,99.00%,Diana J. Florence,(A Safer Manhattan),19,AD 65,2025-11-06_10:53:47.028996
ED    5,99.00%,WRITE-IN,&nbsp,0,AD 65,2025-11-06_10:53:47.028996
ED    6,99.00%,Alvin L. Bragg Jr.,(Democratic),390,AD 65,2025-11-06_10:53:47.028996
ED    6,99.00%,Maud Maron,(Republican),176,AD 65,2025-11-06_10:53:47.028996
ED    6,99.00%,Maud Maron,(Conservative),8,AD 65,2025-11-06_10:53:47.028996
ED    6,99.00%,Alvin L. Bragg Jr.,(Working Families),45,AD 65,2025-11-06_10:53:47.028996
ED    6,99.00%,Diana J. Florence,(A Safer Manhattan),17,AD 65,2025-11-06_10:53:47.028996
ED    6,99.00%,WRITE-IN,&nbsp,0,AD 65,2025-11-06_10:53:47.028996
ED    7,99.00%,Alvin L. Bragg Jr.,(Democratic),380,AD 65,2025-11-06_10:53:47.028996
ED    7,99.00%,Maud Maron,(Republican),266,AD 65,2025-11-06_10:53:47.028996
ED    7,99.00%,Maud Maron,(Conservative),31,AD 65,2025-11-06_10:53:47.028996
