boro,reported,candidate,party,votes,scrape_time
New York,98.25%,Lisa S. Headley,(Democratic),10666,2025-11-06_10:54:35.787418
New York,98.25%,WRITE-IN,,66,2025-11-06_10:54:35.787418
Total,,Lisa S. Headley,(Democratic),10666,2025-11-06_10:54:35.787418
Total,,WRITE-IN,,66,2025-11-06_10:54:35.787418
