boro,reported,candidate,party,votes,scrape_time
New York,96.74%,Terence W. McCormick,(Democratic),26063,2025-11-06_10:54:36.164408
New York,96.74%,WRITE-IN,,382,2025-11-06_10:54:36.164408
Total,,Terence W. McCormick,(Democratic),26063,2025-11-06_10:54:36.164408
Total,,WRITE-IN,,382,2025-11-06_10:54:36.164408
