ed_clean,YES,NO,reported,ad,ed,percentage,passed
24037,402,175,99.00%,24,37,69.67071057192375,TRUE
24038,1255,724,99.00%,24,38,63.41586659929257,TRUE
24039,754,566,99.00%,24,39,57.12121212121212,TRUE
24040,608,317,99.00%,24,40,65.72972972972973,TRUE
24041,168,74,57.14%,24,41,69.42148760330579,TRUE
24042,720,303,99.00%,24,42,70.38123167155426,TRUE
24043,881,562,99.00%,24,43,61.05336105336106,TRUE
24044,645,221,99.00%,24,44,74.48036951501155,TRUE
24045,159,134,99.00%,24,45,54.26621160409556,TRUE
24046,1208,484,99.00%,24,46,71.39479905437352,TRUE
24047,935,646,99.00%,24,47,59.13978494623656,TRUE
24048,808,540,99.00%,24,48,59.940652818991104,TRUE
24049,627,1985,99.00%,24,49,24.00459418070444,FALSE
24050,203,642,99.00%,24,50,24.023668639053255,FALSE
24051,1033,1088,99.00%,24,51,48.703441772748704,FALSE
24052,1250,696,99.00%,24,52,64.23432682425488,TRUE
24053,1431,441,99.00%,24,53,76.4423076923077,TRUE
24054,209,84,99.00%,24,54,71.33105802047781,TRUE
24055,642,318,99.00%,24,55,66.875,TRUE
24056,891,655,99.00%,24,56,57.63260025873221,TRUE
24057,682,539,99.00%,24,57,55.85585585585585,TRUE
24058,623,1450,99.00%,24,58,30.05306319343946,FALSE
24059,612,1153,99.00%,24,59,34.6742209631728,FALSE
24060,944,1649,99.00%,24,60,36.40570767450829,FALSE
24061,1006,1166,83.33%,24,61,46.316758747697975,FALSE
24062,996,1162,83.33%,24,62,46.15384615384615,FALSE
24063,462,511,83.33%,24,63,47.482014388489205,FALSE
24064,798,977,99.00%,24,64,44.95774647887324,FALSE
24065,1428,556,99.00%,24,65,71.9758064516129,TRUE
24066,0,0,99.00%,24,66,NA,FALSE
25001,1065,762,99.00%,25,1,58.29228243021346,TRUE
25002,1037,809,99.00%,25,2,56.17551462621885,TRUE
25003,180,243,99.00%,25,3,42.5531914893617,FALSE
25004,555,338,99.00%,25,4,62.150055991041434,TRUE
25005,1128,906,99.00%,25,5,55.45722713864307,TRUE
25006,719,692,99.00%,25,6,50.95676824946847,TRUE
25007,114,101,99.00%,25,7,53.02325581395348,TRUE
25008,72,50,99.00%,25,8,59.01639344262295,TRUE
25009,612,982,99.00%,25,9,38.393977415307404,FALSE
25010,170,112,99.00%,25,10,60.28368794326241,TRUE
25011,448,1009,99.00%,25,11,30.748112560054906,FALSE
25012,580,1614,99.00%,25,12,26.43573381950775,FALSE
25013,652,1355,99.00%,25,13,32.48629795714997,FALSE
25014,654,1005,99.00%,25,14,39.42133815551537,FALSE
25015,532,720,99.00%,25,15,42.49201277955272,FALSE
25016,563,1030,99.00%,25,16,35.34212178279975,FALSE
25017,680,1334,99.00%,25,17,33.76365441906653,FALSE
25018,878,1024,99.00%,25,18,46.16193480546793,FALSE
25019,859,849,99.00%,25,19,50.292740046838404,TRUE
25020,734,918,99.00%,25,20,44.43099273607748,FALSE
25021,706,547,99.00%,25,21,56.34477254588987,TRUE
25022,704,617,99.00%,25,22,53.29295987887964,TRUE
25023,428,503,99.00%,25,23,45.97207303974221,FALSE
25024,470,697,99.00%,25,24,40.27420736932305,FALSE
25025,752,1147,99.00%,25,25,39.59978936282254,FALSE
25026,691,1154,99.00%,25,26,37.452574525745256,FALSE
25027,826,744,99.00%,25,27,52.611464968152866,TRUE
25028,755,598,99.00%,25,28,55.80192165558019,TRUE
