proposal_number,CounDist,YES,NO,percentage,passed
2,1,24284,18323,56.99532940596615,TRUE
2,10,24067,11909,66.89737602846341,TRUE
2,11,20367,13400,60.316285130452805,TRUE
2,12,20559,5843,77.86910082569503,TRUE
2,13,15789,15340,50.721192457194256,TRUE
2,14,12214,3574,77.36255383835825,TRUE
2,15,12116,3505,77.56225593752,TRUE
2,16,14474,4109,77.88839261690794,TRUE
2,17,13752,3825,78.23860727086533,TRUE
2,18,18365,6430,74.06735228876789,TRUE
2,19,12890,25389,33.6738159304057,FALSE
2,2,30578,19542,61.00957701516361,TRUE
2,20,10010,7582,56.900864029104135,TRUE
2,21,9661,4300,69.19991404627176,TRUE
2,22,24621,16125,60.42556324547195,TRUE
2,23,18783,17389,51.926904788234,TRUE
2,24,15631,15695,49.89784843261189,FALSE
2,25,16977,8953,65.47242576166602,TRUE
2,26,23153,12830,64.3442736847956,TRUE
2,27,21961,7393,74.81433535463651,TRUE
2,28,17742,6203,74.09480058467321,TRUE
2,29,18358,15668,53.95285957796979,TRUE
2,3,31484,20614,60.43226227494337,TRUE
2,30,15684,17954,46.625839824008565,FALSE
2,31,17047,9334,64.61847541791441,TRUE
2,32,14237,21575,39.75483078297778,FALSE
2,33,32038,16617,65.84729215907923,TRUE
2,34,29532,13692,68.32315380344252,TRUE
2,35,36510,19571,65.10226279845224,TRUE
2,36,28330,14369,66.34815803648797,TRUE
2,37,17501,8390,67.59491715267853,TRUE
2,38,14043,11076,55.905887973247346,TRUE
2,39,39569,22719,63.5258797842281,TRUE
2,4,32615,24406,57.19822521527157,TRUE
2,40,25484,14175,64.25779772561083,TRUE
2,41,17745,7089,71.45445759845373,TRUE
2,42,16259,5599,74.38466465367371,TRUE
2,43,7027,7911,47.04110322667024,FALSE
2,44,7141,21909,24.581755593803788,FALSE
2,45,20054,13582,59.62064454750862,TRUE
2,46,16480,15683,51.23900133693996,TRUE
2,47,15322,17033,47.35589553392057,FALSE
2,48,9462,19147,33.07350833653746,FALSE
2,49,16212,15921,50.45280552702829,TRUE
2,5,36409,26136,58.21248700935327,TRUE
2,50,14006,33346,29.578476093934785,FALSE
2,51,10981,40894,21.16819277108434,FALSE
2,6,37665,23422,61.65796323276638,TRUE
2,7,32581,15592,67.63332157017416,TRUE
2,8,19048,7235,72.472700985427835,TRUE
2,9,28556,11721,70.89902425702014,TRUE
2,NA,1035374,740039,58.31736052400201,TRUE
