proposal_number,CounDist,YES,NO,percentage,passed,name,borough,political_party
4,1,23163,18473,55.63214525891056,TRUE,Christopher Marte,Manhattan,Democrat
4,10,22704,12323,64.81856853284609,TRUE,Carmen De La Rosa,Manhattan,Democrat
4,11,20501,12732,61.688682935636265,TRUE,Eric Dinowitz,Bronx,Democrat
4,12,20230,5763,77.82864617396991,TRUE,Kevin C. Riley,Bronx,Democrat
4,13,16783,13918,54.66597179244975,TRUE,Kristy Marmorato,Bronx,Democrat
4,14,11742,3687,76.10344157106746,TRUE,Pierina Ana Sanchez,Bronx,Democrat
4,15,11818,3525,77.0253535814378,TRUE,Oswald Feliz,Bronx,Democrat
4,16,14084,4200,77.0290964777948,TRUE,Althea Stevens,Bronx,Democrat
4,17,13339,3918,77.29616967027873,TRUE,Rafael Salamanca Jr.,Bronx,Democrat
4,18,18206,6173,74.67902703146152,TRUE,Amanda Farías,Bronx,Democrat
4,19,14490,23335,38.30799735624587,FALSE,Vickie Paladino,Queens,Republican
4,2,29092,19986,59.27706915522229,TRUE,Carlina Rivera,Manhattan,Democrat
4,20,10091,7214,58.31262640855244,TRUE,Sandra Ung,Queens,Democrat
4,21,9557,4194,69.5003999709112,TRUE,Francisco Moya,Queens,Democrat
4,22,23802,16339,59.295981664632166,TRUE,Tiffany Cabán,Queens,Democrat
4,23,19575,16061,54.93040745313728,TRUE,Linda Lee,Queens,Democrat
4,24,15843,14919,51.50185293543983,TRUE,James F. Gennaro,Queens,Democrat
4,25,16359,9141,64.15294117647059,TRUE,Shekar Krishnan,Queens,Democrat
4,26,22435,12948,63.40615549840318,TRUE,Julie Won,Queens,Democrat
4,27,22031,6956,76.00303584365406,TRUE,Dr. Nantasha Williams,Queens,Democrat
4,28,17547,6030,74.4242270008907,TRUE,Adrienne E. Adams,Queens,Democrat
4,29,18712,14761,55.901771577091985,TRUE,Lynn Schulman,Queens,Democrat
4,3,29796,21270,58.34802020914112,TRUE,Erik Bottcher,Manhattan,Democrat
4,30,16115,16879,48.84221373583076,FALSE,Robert F. Holden,Queens,Democrat
4,31,17165,8816,66.06751087333052,TRUE,Selvena N. Brooks-Powers,Queens,Democrat
4,32,15206,19914,43.297266514806374,FALSE,Joann Ariola,Queens,Republican
4,33,29255,18098,61.780668595442734,TRUE,Lincoln Restler,Brooklyn,Democrat
4,34,27498,14711,65.14724347887892,TRUE,Jennifer Gutiérrez,Brooklyn and Queens,Democrat
4,35,34121,20813,62.112717078676226,TRUE,Crystal Hudson,Brooklyn,Democrat
4,36,26819,15173,63.866927033720714,TRUE,Chi Ossé,Brooklyn,Democrat
4,37,16661,8699,65.69794952681389,TRUE,Sandy Nurse,Brooklyn,Democrat
4,38,13644,10878,55.63983361879129,TRUE,Alexa Avilés,Brooklyn,Democrat
4,39,36739,24356,60.134217202717075,TRUE,Shahana Hanif,Brooklyn,Democrat
4,4,31457,24471,56.24552996710056,TRUE,Keith Powers,Manhattan,Democrat
4,40,24509,14509,62.814598390486445,TRUE,Rita Joseph,Brooklyn,Democrat
4,41,17326,7165,70.74435506920909,TRUE,Darlene Mealy,Brooklyn,Democrat
4,42,15947,5478,74.43173862310385,TRUE,Chris Banks,Brooklyn,Democrat
4,43,6994,7517,48.19791882020536,FALSE,Susan Zhuang,Brooklyn,Democrat
4,44,6700,20334,24.783605829695937,FALSE,Office of Council District 44,Brooklyn,Democrat
4,45,19778,13061,60.227168915009585,TRUE,Farah N. Louis,Brooklyn,Democrat
4,46,17006,14516,53.94962248588288,TRUE,Mercedes Narcisse,Brooklyn,Democrat
4,47,15660,16005,49.45523448602558,FALSE,Justin Brannan,Brooklyn,Republican
4,48,9694,17860,35.18182478043116,FALSE,Inna Vernikov,Brooklyn,Republican
4,49,16929,14816,53.32808316270279,TRUE,Kamillah Hanks,Staten Island,Democrat
4,5,35484,25965,57.745447444222044,TRUE,Julie Menin,Manhattan,Democrat
4,50,16195,30529,34.660987929115656,FALSE,David Carr,Staten Island,Republican
4,51,14172,37083,27.649985367281243,FALSE,Office of Council District 51,Staten Island,Republican
4,6,35966,23958,60.019357853280816,TRUE,Gale A. Brewer,Manhattan,Democrat
4,7,30560,16566,64.84743029325638,TRUE,Shaun Abreu,Manhattan,Democrat
4,8,18131,7562,70.56785894990854,TRUE,Diana Ayala,Manhattan and Bronx,Democrat
4,9,27186,12343,68.7748235472691,TRUE,Yusef Salaam,Manhattan,Democrat
4,NA,1014817,725941,58.29741985962437,TRUE,NA,NA,NA
