boro,reported,candidate,party,votes,scrape_time
New York,97.66%,YES,,291466,2025-11-06_10:54:49.271314
New York,97.66%,NO,,177024,2025-11-06_10:54:49.271314
Bronx,96.86%,YES,,133457,2025-11-06_10:54:49.271314
Bronx,96.86%,NO,,57902,2025-11-06_10:54:49.271314
Kings,97.36%,YES,,329305,2025-11-06_10:54:49.271314
Kings,97.36%,NO,,227758,2025-11-06_10:54:49.271314
Queens,96.47%,YES,,240982,2025-11-06_10:54:49.271314
Queens,96.47%,NO,,188905,2025-11-06_10:54:49.271314
Richmond,98.45%,YES,,40164,2025-11-06_10:54:49.271314
Richmond,98.45%,NO,,88450,2025-11-06_10:54:49.271314
Total,,YES,,1035374,2025-11-06_10:54:49.271314
Total,,NO,,740039,2025-11-06_10:54:49.271314
