ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   16,0.00%,WRITE-IN,&nbsp,5,AD 56,2025-11-04_22:11:19.607306
ED   17,0.00%,Chi Ajani Osse,(Democratic),187,AD 56,2025-11-04_22:11:19.607306
ED   17,0.00%,WRITE-IN,&nbsp,-,AD 56,2025-11-04_22:11:19.607306
ED   18,0.00%,Chi Ajani Osse,(Democratic),23,AD 56,2025-11-04_22:11:19.607306
ED   18,0.00%,WRITE-IN,&nbsp,1,AD 56,2025-11-04_22:11:19.607306
ED   19,0.00%,Chi Ajani Osse,(Democratic),461,AD 56,2025-11-04_22:11:19.607306
ED   19,0.00%,WRITE-IN,&nbsp,2,AD 56,2025-11-04_22:11:19.607306
ED   20,0.00%,Chi Ajani Osse,(Democratic),597,AD 56,2025-11-04_22:11:19.607306
ED   20,0.00%,WRITE-IN,&nbsp,3,AD 56,2025-11-04_22:11:19.607306
ED   21,0.00%,Chi Ajani Osse,(Democratic),513,AD 56,2025-11-04_22:11:19.607306
ED   21,0.00%,WRITE-IN,&nbsp,2,AD 56,2025-11-04_22:11:19.607306
ED   22,0.00%,Chi Ajani Osse,(Democratic),400,AD 56,2025-11-04_22:11:19.607306
ED   22,0.00%,WRITE-IN,&nbsp,3,AD 56,2025-11-04_22:11:19.607306
ED   23,0.00%,Chi Ajani Osse,(Democratic),440,AD 56,2025-11-04_22:11:19.607306
ED   23,0.00%,WRITE-IN,&nbsp,6,AD 56,2025-11-04_22:11:19.607306
ED   24,0.00%,Chi Ajani Osse,(Democratic),188,AD 56,2025-11-04_22:11:19.607306
ED   24,0.00%,WRITE-IN,&nbsp,-,AD 56,2025-11-04_22:11:19.607306
ED   26,0.00%,Chi Ajani Osse,(Democratic),457,AD 56,2025-11-04_22:11:19.607306
ED   26,0.00%,WRITE-IN,&nbsp,-,AD 56,2025-11-04_22:11:19.607306
ED   27,0.00%,Chi Ajani Osse,(Democratic),606,AD 56,2025-11-04_22:11:19.607306
ED   27,0.00%,WRITE-IN,&nbsp,2,AD 56,2025-11-04_22:11:19.607306
ED   28,0.00%,Chi Ajani Osse,(Democratic),514,AD 56,2025-11-04_22:11:19.607306
ED   28,0.00%,WRITE-IN,&nbsp,1,AD 56,2025-11-04_22:11:19.607306
ED   29,0.00%,Chi Ajani Osse,(Democratic),707,AD 56,2025-11-04_22:11:19.607306
ED   29,0.00%,WRITE-IN,&nbsp,1,AD 56,2025-11-04_22:11:19.607306
ED   30,0.00%,Chi Ajani Osse,(Democratic),514,AD 56,2025-11-04_22:11:19.607306
ED   30,0.00%,WRITE-IN,&nbsp,5,AD 56,2025-11-04_22:11:19.607306
ED   31,0.00%,Chi Ajani Osse,(Democratic),448,AD 56,2025-11-04_22:11:19.607306
ED   31,0.00%,WRITE-IN,&nbsp,-,AD 56,2025-11-04_22:11:19.607306
ED   32,0.00%,Chi Ajani Osse,(Democratic),644,AD 56,2025-11-04_22:11:19.607306
ED   32,0.00%,WRITE-IN,&nbsp,1,AD 56,2025-11-04_22:11:19.607306
ED   33,0.00%,Chi Ajani Osse,(Democratic),509,AD 56,2025-11-04_22:11:19.607306
ED   33,0.00%,WRITE-IN,&nbsp,4,AD 56,2025-11-04_22:11:19.607306
ED   34,0.00%,Chi Ajani Osse,(Democratic),311,AD 56,2025-11-04_22:11:19.607306
ED   34,0.00%,WRITE-IN,&nbsp,2,AD 56,2025-11-04_22:11:19.607306
ED   35,0.00%,Chi Ajani Osse,(Democratic),517,AD 56,2025-11-04_22:11:19.607306
ED   35,0.00%,WRITE-IN,&nbsp,1,AD 56,2025-11-04_22:11:19.607306
ED   37,0.00%,Chi Ajani Osse,(Democratic),647,AD 56,2025-11-04_22:11:19.607306
ED   37,0.00%,WRITE-IN,&nbsp,13,AD 56,2025-11-04_22:11:19.607306
