boro,reported,candidate,party,votes,scrape_time
New York,97.69%,Shaun Abreu,(Democratic),35528,2025-11-06_10:54:07.107167
New York,97.69%,Manual Williams,(Republican),4371,2025-11-06_10:54:07.107167
New York,97.69%,Shaun Abreu,(Working Families),7086,2025-11-06_10:54:07.107167
New York,97.69%,Edafe Okporo,(West Side United ),2323,2025-11-06_10:54:07.107167
New York,97.69%,WRITE-IN,,83,2025-11-06_10:54:07.107167
Total,,Shaun Abreu,(Democratic),35528,2025-11-06_10:54:07.107167
Total,,Manual Williams,(Republican),4371,2025-11-06_10:54:07.107167
Total,,Shaun Abreu,(Working Families),7086,2025-11-06_10:54:07.107167
Total,,Edafe Okporo,(West Side United ),2323,2025-11-06_10:54:07.107167
Total,,WRITE-IN,,83,2025-11-06_10:54:07.107167
