boro,reported,candidate,party,votes,scrape_time
New York,97.98%,Eric J. Wursthorn,(Democratic),36567,2025-11-05_01:52:42.246656
New York,97.98%,WRITE-IN,,418,2025-11-05_01:52:42.246656
Total,,Eric J. Wursthorn,(Democratic),36567,2025-11-05_01:52:42.246656
Total,,WRITE-IN,,418,2025-11-05_01:52:42.246656
