AD_num,reported,candidate,party,votes,scrape_time
AD   66,99.00%,Eric J. Wursthorn,(Democratic),926,2025-11-06_10:54:34.733015
AD   66,99.00%,WRITE-IN,,5,2025-11-06_10:54:34.733015
AD   67,97.44%,Eric J. Wursthorn,(Democratic),11077,2025-11-06_10:54:34.733015
AD   67,97.44%,WRITE-IN,,123,2025-11-06_10:54:34.733015
AD   75,97.59%,Eric J. Wursthorn,(Democratic),24564,2025-11-06_10:54:34.733015
AD   75,97.59%,WRITE-IN,,290,2025-11-06_10:54:34.733015
Total,,Eric J. Wursthorn,(Democratic),36567,2025-11-06_10:54:34.733015
Total,,WRITE-IN,,418,2025-11-06_10:54:34.733015
