ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    8,97.98%,WRITE-IN,&nbsp,8,AD 75,2025-11-05_01:52:42.246656
ED    9,97.98%,Eric J. Wursthorn,(Democratic),148,AD 75,2025-11-05_01:52:42.246656
ED    9,97.98%,WRITE-IN,&nbsp,4,AD 75,2025-11-05_01:52:42.246656
ED   10,97.98%,Eric J. Wursthorn,(Democratic),683,AD 75,2025-11-05_01:52:42.246656
ED   10,97.98%,WRITE-IN,&nbsp,15,AD 75,2025-11-05_01:52:42.246656
ED   17,97.98%,Eric J. Wursthorn,(Democratic),371,AD 75,2025-11-05_01:52:42.246656
ED   17,97.98%,WRITE-IN,&nbsp,6,AD 75,2025-11-05_01:52:42.246656
ED   29,97.98%,Eric J. Wursthorn,(Democratic),503,AD 75,2025-11-05_01:52:42.246656
ED   29,97.98%,WRITE-IN,&nbsp,7,AD 75,2025-11-05_01:52:42.246656
ED   30,97.98%,Eric J. Wursthorn,(Democratic),338,AD 75,2025-11-05_01:52:42.246656
ED   30,97.98%,WRITE-IN,&nbsp,5,AD 75,2025-11-05_01:52:42.246656
ED   31,97.98%,Eric J. Wursthorn,(Democratic),616,AD 75,2025-11-05_01:52:42.246656
ED   31,97.98%,WRITE-IN,&nbsp,5,AD 75,2025-11-05_01:52:42.246656
ED   32,97.98%,Eric J. Wursthorn,(Democratic),540,AD 75,2025-11-05_01:52:42.246656
ED   32,97.98%,WRITE-IN,&nbsp,4,AD 75,2025-11-05_01:52:42.246656
ED   33,97.98%,Eric J. Wursthorn,(Democratic),465,AD 75,2025-11-05_01:52:42.246656
ED   33,97.98%,WRITE-IN,&nbsp,7,AD 75,2025-11-05_01:52:42.246656
ED   34,97.98%,Eric J. Wursthorn,(Democratic),445,AD 75,2025-11-05_01:52:42.246656
ED   34,97.98%,WRITE-IN,&nbsp,2,AD 75,2025-11-05_01:52:42.246656
ED   35,97.98%,Eric J. Wursthorn,(Democratic),368,AD 75,2025-11-05_01:52:42.246656
ED   35,97.98%,WRITE-IN,&nbsp,2,AD 75,2025-11-05_01:52:42.246656
ED   36,97.98%,Eric J. Wursthorn,(Democratic),129,AD 75,2025-11-05_01:52:42.246656
ED   36,97.98%,WRITE-IN,&nbsp,3,AD 75,2025-11-05_01:52:42.246656
ED   37,97.98%,Eric J. Wursthorn,(Democratic),486,AD 75,2025-11-05_01:52:42.246656
ED   37,97.98%,WRITE-IN,&nbsp,3,AD 75,2025-11-05_01:52:42.246656
ED   38,97.98%,Eric J. Wursthorn,(Democratic),511,AD 75,2025-11-05_01:52:42.246656
ED   38,97.98%,WRITE-IN,&nbsp,4,AD 75,2025-11-05_01:52:42.246656
ED   39,97.98%,Eric J. Wursthorn,(Democratic),491,AD 75,2025-11-05_01:52:42.246656
ED   39,97.98%,WRITE-IN,&nbsp,4,AD 75,2025-11-05_01:52:42.246656
ED   40,97.98%,Eric J. Wursthorn,(Democratic),503,AD 75,2025-11-05_01:52:42.246656
ED   40,97.98%,WRITE-IN,&nbsp,9,AD 75,2025-11-05_01:52:42.246656
ED   41,97.98%,Eric J. Wursthorn,(Democratic),639,AD 75,2025-11-05_01:52:42.246656
ED   41,97.98%,WRITE-IN,&nbsp,5,AD 75,2025-11-05_01:52:42.246656
ED   42,97.98%,Eric J. Wursthorn,(Democratic),601,AD 75,2025-11-05_01:52:42.246656
ED   42,97.98%,WRITE-IN,&nbsp,6,AD 75,2025-11-05_01:52:42.246656
ED   43,97.98%,Eric J. Wursthorn,(Democratic),737,AD 75,2025-11-05_01:52:42.246656
ED   43,97.98%,WRITE-IN,&nbsp,9,AD 75,2025-11-05_01:52:42.246656
ED   44,97.98%,Eric J. Wursthorn,(Democratic),716,AD 75,2025-11-05_01:52:42.246656
ED   44,97.98%,WRITE-IN,&nbsp,6,AD 75,2025-11-05_01:52:42.246656
ED   45,97.98%,Eric J. Wursthorn,(Democratic),574,AD 75,2025-11-05_01:52:42.246656
ED   45,97.98%,WRITE-IN,&nbsp,4,AD 75,2025-11-05_01:52:42.246656
ED   46,97.98%,Eric J. Wursthorn,(Democratic),595,AD 75,2025-11-05_01:52:42.246656
ED   46,97.98%,WRITE-IN,&nbsp,11,AD 75,2025-11-05_01:52:42.246656
ED   47,97.98%,Eric J. Wursthorn,(Democratic),522,AD 75,2025-11-05_01:52:42.246656
ED   47,97.98%,WRITE-IN,&nbsp,5,AD 75,2025-11-05_01:52:42.246656
ED   48,97.98%,Eric J. Wursthorn,(Democratic),366,AD 75,2025-11-05_01:52:42.246656
ED   48,97.98%,WRITE-IN,&nbsp,5,AD 75,2025-11-05_01:52:42.246656
ED   49,97.98%,Eric J. Wursthorn,(Democratic),632,AD 75,2025-11-05_01:52:42.246656
ED   49,97.98%,WRITE-IN,&nbsp,6,AD 75,2025-11-05_01:52:42.246656
ED   50,97.98%,Eric J. Wursthorn,(Democratic),466,AD 75,2025-11-05_01:52:42.246656
ED   50,97.98%,WRITE-IN,&nbsp,6,AD 75,2025-11-05_01:52:42.246656
ED   51,97.98%,Eric J. Wursthorn,(Democratic),785,AD 75,2025-11-05_01:52:42.246656
ED   51,97.98%,WRITE-IN,&nbsp,5,AD 75,2025-11-05_01:52:42.246656
ED   52,97.98%,Eric J. Wursthorn,(Democratic),638,AD 75,2025-11-05_01:52:42.246656
ED   52,97.98%,WRITE-IN,&nbsp,7,AD 75,2025-11-05_01:52:42.246656
ED   53,97.98%,Eric J. Wursthorn,(Democratic),624,AD 75,2025-11-05_01:52:42.246656
ED   53,97.98%,WRITE-IN,&nbsp,6,AD 75,2025-11-05_01:52:42.246656
ED   54,97.98%,Eric J. Wursthorn,(Democratic),331,AD 75,2025-11-05_01:52:42.246656
ED   54,97.98%,WRITE-IN,&nbsp,6,AD 75,2025-11-05_01:52:42.246656
ED   55,97.98%,Eric J. Wursthorn,(Democratic),354,AD 75,2025-11-05_01:52:42.246656
ED   55,97.98%,WRITE-IN,&nbsp,8,AD 75,2025-11-05_01:52:42.246656
ED   56,97.98%,Eric J. Wursthorn,(Democratic),432,AD 75,2025-11-05_01:52:42.246656
ED   56,97.98%,WRITE-IN,&nbsp,10,AD 75,2025-11-05_01:52:42.246656
ED   57,97.98%,Eric J. Wursthorn,(Democratic),655,AD 75,2025-11-05_01:52:42.246656
ED   57,97.98%,WRITE-IN,&nbsp,12,AD 75,2025-11-05_01:52:42.246656
ED   58,97.98%,Eric J. Wursthorn,(Democratic),498,AD 75,2025-11-05_01:52:42.246656
ED   58,97.98%,WRITE-IN,&nbsp,7,AD 75,2025-11-05_01:52:42.246656
ED   59,97.98%,Eric J. Wursthorn,(Democratic),744,AD 75,2025-11-05_01:52:42.246656
ED   59,97.98%,WRITE-IN,&nbsp,8,AD 75,2025-11-05_01:52:42.246656
ED   60,97.98%,Eric J. Wursthorn,(Democratic),518,AD 75,2025-11-05_01:52:42.246656
ED   60,97.98%,WRITE-IN,&nbsp,4,AD 75,2025-11-05_01:52:42.246656
ED   61,97.98%,Eric J. Wursthorn,(Democratic),152,AD 75,2025-11-05_01:52:42.246656
ED   61,97.98%,WRITE-IN,&nbsp,3,AD 75,2025-11-05_01:52:42.246656
ED   62,97.98%,Eric J. Wursthorn,(Democratic),514,AD 75,2025-11-05_01:52:42.246656
ED   62,97.98%,WRITE-IN,&nbsp,6,AD 75,2025-11-05_01:52:42.246656
ED   63,97.98%,Eric J. Wursthorn,(Democratic),805,AD 75,2025-11-05_01:52:42.246656
ED   63,97.98%,WRITE-IN,&nbsp,7,AD 75,2025-11-05_01:52:42.246656
ED   64,97.98%,Eric J. Wursthorn,(Democratic),632,AD 75,2025-11-05_01:52:42.246656
ED   64,97.98%,WRITE-IN,&nbsp,6,AD 75,2025-11-05_01:52:42.246656
ED   65,97.98%,Eric J. Wursthorn,(Democratic),415,AD 75,2025-11-05_01:52:42.246656
ED   65,97.98%,WRITE-IN,&nbsp,5,AD 75,2025-11-05_01:52:42.246656
ED   66,97.98%,Eric J. Wursthorn,(Democratic),314,AD 75,2025-11-05_01:52:42.246656
ED   66,97.98%,WRITE-IN,&nbsp,2,AD 75,2025-11-05_01:52:42.246656
ED   71,97.98%,Eric J. Wursthorn,(Democratic),0,AD 75,2025-11-05_01:52:42.246656
ED   71,97.98%,WRITE-IN,&nbsp,0,AD 75,2025-11-05_01:52:42.246656
Total,,Eric J. Wursthorn,(Democratic),24564,AD 75,2025-11-05_01:52:42.246656
Total,,WRITE-IN,&nbsp,290,AD 75,2025-11-05_01:52:42.246656
