boro,reported,candidate,party,votes,scrape_time
Kings,0.00%,Susan Zhuang,(Democratic),11105,2025-11-04_22:11:27.740751
Kings,0.00%,Susan Zhuang,(Conservative),3314,2025-11-04_22:11:27.740751
Kings,0.00%,WRITE-IN,,205,2025-11-04_22:11:27.740751
Total,,Susan Zhuang,(Democratic),11105,2025-11-04_22:11:27.740751
Total,,Susan Zhuang,(Conservative),3314,2025-11-04_22:11:27.740751
Total,,WRITE-IN,,205,2025-11-04_22:11:27.740751
